,SUBZONE_N,33,7,25,12,15,6,29,2,27,34,28,20,16,23,14,3,10,0
27,CHINA SQUARE,3792.0,1794.0,1913.0,1583.0,2185.0,4060.0,3005.0,1865.0,2706.0,3845.0,2360.0,2570.0,1592.0,3126.0,2143.0,2690.0,3232.0,2645.0
28,CHINATOWN,3577.0,1903.0,2228.0,1419.0,2147.0,3845.0,2790.0,1650.0,2911.0,3630.0,2565.0,2679.0,1632.0,2911.0,2212.0,2799.0,3437.0,2893.0
29,PASIR RIS DRIVE,6344.0,4107.0,3599.0,4006.0,3449.0,4899.0,5557.0,4237.0,4673.0,6217.0,4204.0,3265.0,4196.0,5498.0,3119.0,3043.0,4878.0,2547.0
30,ELIAS,5171.0,3706.0,3741.0,3982.0,3425.0,4321.0,5533.0,4213.0,4332.0,6193.0,3876.0,2647.0,4212.0,5474.0,3095.0,2695.0,3088.0,2300.0
31,SZ3,4907.0,2593.0,3253.0,3545.0,3315.0,4335.0,5080.0,3776.0,3442.0,5756.0,2815.0,2049.0,2682.0,5037.0,3135.0,1549.0,2981.0,2714.0
32,CRAWFORD,4627.0,2110.0,898.0,2098.0,1503.0,4055.0,3469.0,2329.0,2701.0,4309.0,2260.0,2802.0,1897.0,3590.0,1500.0,2922.0,3227.0,2646.0
33,BOON KENG,4096.0,1972.0,1674.0,1938.0,1064.0,4304.0,3309.0,2169.0,2950.0,4149.0,2604.0,3424.0,1883.0,3430.0,1531.0,3045.0,3476.0,2416.0
34,KAMPONG JAVA,3731.0,1408.0,2152.0,2120.0,2469.0,3845.0,3022.0,2351.0,2491.0,4737.0,2145.0,2184.0,328.0,3612.0,2670.0,2304.0,3017.0,3202.0
35,BENDEMEER,3922.0,336.0,2214.0,2182.0,2023.0,3940.0,3307.0,2413.0,2607.0,4393.0,2172.0,2006.0,1319.0,3674.0,2492.0,2126.0,2702.0,2820.0
36,GEYLANG BAHRU,4482.0,1694.0,1847.0,2398.0,1507.0,3693.0,3773.0,2758.0,2939.0,5488.0,2249.0,3385.0,2123.0,4019.0,1527.0,2739.0,3111.0,2029.0
37,KAMPONG BUGIS,4130.0,1962.0,1207.0,1972.0,1002.0,4338.0,3343.0,2203.0,2984.0,4183.0,2638.0,3475.0,1917.0,3464.0,1565.0,3512.0,3510.0,2450.0
38,MARINE PARADE,5491.0,2699.0,1557.0,2155.0,1895.0,4421.0,4281.0,2628.0,4068.0,4920.0,3145.0,3135.0,2483.0,4704.0,2026.0,3957.0,4037.0,3615.0
39,NORTH COAST,2605.0,4855.0,4807.0,3687.0,5297.0,1516.0,2778.0,3678.0,3460.0,4197.0,3393.0,4812.0,4269.0,3619.0,4689.0,4495.0,2825.0,5180.0
40,WOODLANDS SOUTH,2693.0,4101.0,4053.0,3775.0,4543.0,1634.0,2866.0,3766.0,2706.0,4285.0,3015.0,4280.0,3565.0,3707.0,3935.0,3737.0,2305.0,4341.0
