,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
0,PASIR RIS TOWN,"{'destination_addresses': ['4A Eunos Cres, Singapore 402004'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '12.2 km', 'value': 12168}, 'duration': {'text': '29 mins', 'value': 1763}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Yishun Ave 11, Singapore 760355'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '38.8 km', 'value': 38754}, 'duration': {'text': '1 hour 22 mins', 'value': 4941}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Geylang Serai, #01-153 Geylang Serai Market and Food Centre, Singapore 402001'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '12.4 km', 'value': 12350}, 'duration': {'text': '32 mins', 'value': 1911}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['75 Lor. 5 Toa Payoh, #01-31, Singapore 310075'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '26.1 km', 'value': 26058}, 'duration': {'text': '1 hour 0 mins', 'value': 3620}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['676 Woodlands Drive 71, Level 2, #02-28, Kampung Admiralty Hawker Centre, Singapore 730676'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '42.8 km', 'value': 42833}, 'duration': {'text': '1 hour 14 mins', 'value': 4469}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Blk 226D Ang Mo Kio Ave 1, #01-74, Singapore 564226'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.2 km', 'value': 31203}, 'duration': {'text': '1 hour 15 mins', 'value': 4509}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Jurong West Street 61, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '41.0 km', 'value': 40961}, 'duration': {'text': '1 hour 14 mins', 'value': 4465}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Kadayanallur St, Singapore 069184'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '21.2 km', 'value': 21198}, 'duration': {'text': '45 mins', 'value': 2694}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['87 Circuit Rd, Block 87, Singapore 370087'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '15.1 km', 'value': 15102}, 'duration': {'text': '41 mins', 'value': 2476}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['69 Geylang Bahru, Singapore 330069'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.6 km', 'value': 13554}, 'duration': {'text': '40 mins', 'value': 2425}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['21 Marsiling Ln, Singapore 730021'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.2 km', 'value': 31179}, 'duration': {'text': '1 hour 19 mins', 'value': 4759}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['448 Clementi Ave 3, Singapore 120448'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.6 km', 'value': 31587}, 'duration': {'text': '59 mins', 'value': 3568}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['453A Ang Mo Kio Ave 10, Singapore 561453'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.0 km', 'value': 13016}, 'duration': {'text': '55 mins', 'value': 3296}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['527 Ang Mo Kio Ave 10, Singapore 560527'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '30.6 km', 'value': 30553}, 'duration': {'text': '1 hour 7 mins', 'value': 4005}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49A Serangoon Garden Way, Singapore 555945'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.7 km', 'value': 13674}, 'duration': {'text': '1 hour 5 mins', 'value': 3924}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['105 Lor Ah Soo, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '9.5 km', 'value': 9462}, 'duration': {'text': '38 mins', 'value': 2284}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['16 Bedok S Rd, Singapore 460016'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '10.0 km', 'value': 9977}, 'duration': {'text': '37 mins', 'value': 2200}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Empress Rd, Singapore 260007'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '28.2 km', 'value': 28174}, 'duration': {'text': '1 hour 4 mins', 'value': 3812}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['159 Mei Chin Rd, Singapore 140159'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '26.5 km', 'value': 26540}, 'duration': {'text': '56 mins', 'value': 3334}, 'status': 'OK'}]}], 'status': 'OK'}"
1,MACPHERSON,"{'destination_addresses': ['4A Eunos Cres, Singapore 402004'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '3.9 km', 'value': 3913}, 'duration': {'text': '31 mins', 'value': 1869}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Yishun Ave 11, Singapore 760355'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.9 km', 'value': 18857}, 'duration': {'text': '1 hour 2 mins', 'value': 3743}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Geylang Serai, #01-153 Geylang Serai Market and Food Centre, Singapore 402001'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '2.8 km', 'value': 2796}, 'duration': {'text': '24 mins', 'value': 1464}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['75 Lor. 5 Toa Payoh, #01-31, Singapore 310075'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '6.5 km', 'value': 6504}, 'duration': {'text': '40 mins', 'value': 2415}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['676 Woodlands Drive 71, Level 2, #02-28, Kampung Admiralty Hawker Centre, Singapore 730676'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '22.9 km', 'value': 22936}, 'duration': {'text': '55 mins', 'value': 3271}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Blk 226D Ang Mo Kio Ave 1, #01-74, Singapore 564226'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '15.5 km', 'value': 15526}, 'duration': {'text': '57 mins', 'value': 3407}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Jurong West Street 61, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '30.0 km', 'value': 29963}, 'duration': {'text': '1 hour 9 mins', 'value': 4142}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Kadayanallur St, Singapore 069184'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8151}, 'duration': {'text': '27 mins', 'value': 1643}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['87 Circuit Rd, Block 87, Singapore 370087'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '0.5 km', 'value': 462}, 'duration': {'text': '6 mins', 'value': 339}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['69 Geylang Bahru, Singapore 330069'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '2.2 km', 'value': 2161}, 'duration': {'text': '13 mins', 'value': 797}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['21 Marsiling Ln, Singapore 730021'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '26.9 km', 'value': 26908}, 'duration': {'text': '1 hour 11 mins', 'value': 4243}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['448 Clementi Ave 3, Singapore 120448'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.3 km', 'value': 18332}, 'duration': {'text': '1 hour 4 mins', 'value': 3811}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['453A Ang Mo Kio Ave 10, Singapore 561453'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.8 km', 'value': 8754}, 'duration': {'text': '51 mins', 'value': 3034}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['527 Ang Mo Kio Ave 10, Singapore 560527'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '10.7 km', 'value': 10656}, 'duration': {'text': '47 mins', 'value': 2807}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49A Serangoon Garden Way, Singapore 555945'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.7 km', 'value': 7710}, 'duration': {'text': '44 mins', 'value': 2658}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['105 Lor Ah Soo, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.0 km', 'value': 5010}, 'duration': {'text': '33 mins', 'value': 1982}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['16 Bedok S Rd, Singapore 460016'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.7 km', 'value': 8687}, 'duration': {'text': '43 mins', 'value': 2609}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Empress Rd, Singapore 260007'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '15.1 km', 'value': 15147}, 'duration': {'text': '46 mins', 'value': 2733}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['159 Mei Chin Rd, Singapore 140159'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.7 km', 'value': 12684}, 'duration': {'text': '52 mins', 'value': 3120}, 'status': 'OK'}]}], 'status': 'OK'}"
2,GEYLANG EAST,"{'destination_addresses': ['4A Eunos Cres, Singapore 402004'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '1.2 km', 'value': 1220}, 'duration': {'text': '15 mins', 'value': 912}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Yishun Ave 11, Singapore 760355'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '19.9 km', 'value': 19921}, 'duration': {'text': '1 hour 5 mins', 'value': 3914}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Geylang Serai, #01-153 Geylang Serai Market and Food Centre, Singapore 402001'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '24 m', 'value': 24}, 'duration': {'text': '1 min', 'value': 18}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['75 Lor. 5 Toa Payoh, #01-31, Singapore 310075'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.7 km', 'value': 8659}, 'duration': {'text': '50 mins', 'value': 2975}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['676 Woodlands Drive 71, Level 2, #02-28, Kampung Admiralty Hawker Centre, Singapore 730676'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '24.0 km', 'value': 24000}, 'duration': {'text': '57 mins', 'value': 3442}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Blk 226D Ang Mo Kio Ave 1, #01-74, Singapore 564226'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '12.7 km', 'value': 12721}, 'duration': {'text': '1 hour 6 mins', 'value': 3963}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Jurong West Street 61, Singapore'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '30.2 km', 'value': 30161}, 'duration': {'text': '1 hour 5 mins', 'value': 3922}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Kadayanallur St, Singapore 069184'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.4 km', 'value': 10398}, 'duration': {'text': '36 mins', 'value': 2151}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['87 Circuit Rd, Block 87, Singapore 370087'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '3.3 km', 'value': 3289}, 'duration': {'text': '29 mins', 'value': 1719}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['69 Geylang Bahru, Singapore 330069'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '5.5 km', 'value': 5491}, 'duration': {'text': '31 mins', 'value': 1888}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['21 Marsiling Ln, Singapore 730021'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '28.0 km', 'value': 27972}, 'duration': {'text': '1 hour 14 mins', 'value': 4414}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['448 Clementi Ave 3, Singapore 120448'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '20.8 km', 'value': 20787}, 'duration': {'text': '50 mins', 'value': 3025}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['453A Ang Mo Kio Ave 10, Singapore 561453'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.6 km', 'value': 10559}, 'duration': {'text': '54 mins', 'value': 3240}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['527 Ang Mo Kio Ave 10, Singapore 560527'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '11.1 km', 'value': 11088}, 'duration': {'text': '59 mins', 'value': 3557}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49A Serangoon Garden Way, Singapore 555945'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '7.9 km', 'value': 7866}, 'duration': {'text': '49 mins', 'value': 2952}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['105 Lor Ah Soo, Singapore'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '6.2 km', 'value': 6164}, 'duration': {'text': '44 mins', 'value': 2634}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['16 Bedok S Rd, Singapore 460016'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '5.9 km', 'value': 5940}, 'duration': {'text': '38 mins', 'value': 2309}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Empress Rd, Singapore 260007'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '16.2 km', 'value': 16211}, 'duration': {'text': '48 mins', 'value': 2904}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['159 Mei Chin Rd, Singapore 140159'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '15.7 km', 'value': 15740}, 'duration': {'text': '47 mins', 'value': 2791}, 'status': 'OK'}]}], 'status': 'OK'}"
3,ALJUNIED,"{'destination_addresses': ['4A Eunos Cres, Singapore 402004'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '3.3 km', 'value': 3273}, 'duration': {'text': '19 mins', 'value': 1167}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Yishun Ave 11, Singapore 760355'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '25.3 km', 'value': 25274}, 'duration': {'text': '1 hour 4 mins', 'value': 3865}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Geylang Serai, #01-153 Geylang Serai Market and Food Centre, Singapore 402001'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '2.0 km', 'value': 2017}, 'duration': {'text': '16 mins', 'value': 937}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['75 Lor. 5 Toa Payoh, #01-31, Singapore 310075'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '12.6 km', 'value': 12578}, 'duration': {'text': '42 mins', 'value': 2544}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['676 Woodlands Drive 71, Level 2, #02-28, Kampung Admiralty Hawker Centre, Singapore 730676'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '29.4 km', 'value': 29353}, 'duration': {'text': '57 mins', 'value': 3393}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Blk 226D Ang Mo Kio Ave 1, #01-74, Singapore 564226'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '17.7 km', 'value': 17723}, 'duration': {'text': '57 mins', 'value': 3433}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Jurong West Street 61, Singapore'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '27.5 km', 'value': 27481}, 'duration': {'text': '56 mins', 'value': 3389}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Kadayanallur St, Singapore 069184'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '7.7 km', 'value': 7718}, 'duration': {'text': '27 mins', 'value': 1618}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['87 Circuit Rd, Block 87, Singapore 370087'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '1.5 km', 'value': 1528}, 'duration': {'text': '19 mins', 'value': 1127}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['69 Geylang Bahru, Singapore 330069'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '3.9 km', 'value': 3897}, 'duration': {'text': '27 mins', 'value': 1590}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['21 Marsiling Ln, Singapore 730021'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '33.3 km', 'value': 33324}, 'duration': {'text': '1 hour 13 mins', 'value': 4365}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['448 Clementi Ave 3, Singapore 120448'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '18.1 km', 'value': 18107}, 'duration': {'text': '42 mins', 'value': 2492}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['453A Ang Mo Kio Ave 10, Singapore 561453'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '17.0 km', 'value': 17048}, 'duration': {'text': '49 mins', 'value': 2936}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['527 Ang Mo Kio Ave 10, Singapore 560527'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '17.1 km', 'value': 17073}, 'duration': {'text': '49 mins', 'value': 2929}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49A Serangoon Garden Way, Singapore 555945'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '9.0 km', 'value': 9041}, 'duration': {'text': '43 mins', 'value': 2587}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['105 Lor Ah Soo, Singapore'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '7.3 km', 'value': 7271}, 'duration': {'text': '40 mins', 'value': 2393}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['16 Bedok S Rd, Singapore 460016'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '7.1 km', 'value': 7148}, 'duration': {'text': '35 mins', 'value': 2084}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Empress Rd, Singapore 260007'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '17.7 km', 'value': 17659}, 'duration': {'text': '50 mins', 'value': 2998}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['159 Mei Chin Rd, Singapore 140159'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '13.1 km', 'value': 13060}, 'duration': {'text': '38 mins', 'value': 2258}, 'status': 'OK'}]}], 'status': 'OK'}"
