,SUBZONE_N,33,7,25,12,15,6,29,2,27,34,28,20,16,23,14,3,10,0
27,CHINA SQUARE,25175.0,6197.0,6082.0,3901.0,5718.0,30219.0,18830.0,7749.0,14000.0,20837.0,11338.0,13280.0,6037.0,22285.0,9323.0,16282.0,21686.0,15889.0
28,CHINATOWN,23890.0,6372.0,6868.0,4927.0,7099.0,29427.0,17545.0,6464.0,14973.0,19552.0,12311.0,13455.0,4300.0,21001.0,9507.0,16457.0,22659.0,16223.0
29,PASIR RIS DRIVE,45249.0,17429.0,17661.0,26286.0,16350.0,27227.0,38904.0,27823.0,17851.0,40911.0,17654.0,12188.0,19246.0,42360.0,15020.0,10777.0,21444.0,6244.0
30,ELIAS,32494.0,17661.0,16547.0,26223.0,16287.0,25215.0,38841.0,27760.0,17314.0,40848.0,15595.0,10237.0,24123.0,42297.0,14957.0,8540.0,18030.0,4969.0
31,SZ3,28593.0,12715.0,16418.0,20689.0,13964.0,22518.0,34029.0,22226.0,12104.0,35314.0,11739.0,5844.0,14531.0,36763.0,13863.0,2216.0,12902.0,9575.0
32,CRAWFORD,36554.0,7088.0,2100.0,8876.0,2914.0,30479.0,21495.0,10414.0,14260.0,23502.0,12523.0,13591.0,6529.0,24950.0,5310.0,16592.0,21945.0,13239.0
33,BOON KENG,29174.0,4038.0,2549.0,10211.0,1383.0,32089.0,22829.0,11748.0,15870.0,24836.0,13207.0,11291.0,4834.0,26284.0,4071.0,12768.0,23555.0,14104.0
34,KAMPONG JAVA,18341.0,2622.0,7344.0,8311.0,4510.0,24521.0,13812.0,9848.0,8302.0,26692.0,5639.0,9705.0,447.0,24385.0,11166.0,12707.0,15987.0,14035.0
35,BENDEMEER,19987.0,461.0,8430.0,9396.0,3709.0,24246.0,17221.0,10933.0,10976.0,24021.0,7842.0,8505.0,3238.0,25470.0,9966.0,11507.0,16440.0,13415.0
36,GEYLANG BAHRU,28728.0,3033.0,7038.0,8429.0,1972.0,24678.0,24200.0,13881.0,8689.0,37080.0,9666.0,8911.0,11970.0,28417.0,3602.0,10904.0,16453.0,10168.0
37,KAMPONG BUGIS,29205.0,3851.0,1567.0,10242.0,1319.0,32120.0,22860.0,11779.0,15901.0,24867.0,13238.0,11341.0,4865.0,26315.0,4102.0,13978.0,23586.0,14135.0
38,MARINE PARADE,36916.0,8307.0,4191.0,17333.0,5060.0,31104.0,21443.0,18694.0,17334.0,31022.0,12707.0,9234.0,9226.0,31020.0,4530.0,21519.0,23127.0,11899.0
39,NORTH COAST,10001.0,27299.0,30597.0,27677.0,29944.0,3841.0,15437.0,26385.0,15598.0,22974.0,22593.0,18355.0,21020.0,23164.0,28042.0,17646.0,12690.0,27976.0
40,WOODLANDS SOUTH,10335.0,24007.0,27305.0,28010.0,26652.0,2825.0,15771.0,26718.0,12305.0,23307.0,17335.0,21547.0,17392.0,23497.0,24750.0,19875.0,9365.0,26110.0
41,WOODLANDS EAST,10294.0,27351.0,28283.0,27969.0,28654.0,4219.0,15730.0,26677.0,14417.0,23266.0,16467.0,17925.0,22590.0,23456.0,24050.0,17160.0,6564.0,26063.0
42,SZ4,28283.0,14109.0,17812.0,22083.0,15809.0,21004.0,34701.0,23620.0,14565.0,36708.0,13133.0,5781.0,15925.0,38157.0,15257.0,5602.0,14447.0,8285.0
43,SZ5,32294.0,13729.0,17432.0,21703.0,14978.0,23485.0,34321.0,23240.0,15464.0,36328.0,12753.0,6858.0,15545.0,37777.0,14877.0,5222.0,15433.0,11019.0
44,SZ2,29327.0,12480.0,16183.0,20454.0,13729.0,23252.0,26516.0,21991.0,11869.0,35079.0,11504.0,5609.0,14296.0,36528.0,13628.0,3973.0,13636.0,9362.0
