,SUBZONE_N,341,11,193,226,187,25,77,138,101,273,96,10,133,232,18,5,233,176,275,207,344,315,246,293,200,15,100,58,7,31,245,95,257,134,60
14,BOON LAY,9709.0,25277.0,30975.0,26146.0,31216.0,37482.0,11543.0,33783.0,21908.0,25152.0,26835.0,26441.0,12537.0,41207.0,8643.0,36617.0,40519.0,41904.0,34575.0,42250.0,13189.0,22810.0,31427.0,14038.0,20999.0,4534.0,20494.0,30155.0,36905.0,23400.0,37639.0,32127.0,14204.0,25704.0,24180.0
15,CENTRAL,10179.0,24442.0,30140.0,25311.0,30381.0,36647.0,15359.0,32948.0,21073.0,26750.0,26000.0,27308.0,11702.0,40372.0,9822.0,35782.0,39684.0,41069.0,33740.0,41415.0,15885.0,29307.0,30592.0,14518.0,21866.0,1423.0,23818.0,29320.0,36070.0,22565.0,36804.0,31292.0,15336.0,24869.0,28224.0
16,CENTRAL,11966.0,29239.0,26235.0,24562.0,26906.0,38433.0,10234.0,24448.0,22860.0,18993.0,18243.0,15923.0,13489.0,42158.0,3166.0,32307.0,41470.0,42855.0,35527.0,43201.0,6860.0,17922.0,32378.0,12499.0,10482.0,13356.0,18572.0,26012.0,27811.0,19564.0,38590.0,25606.0,15136.0,21395.0,26392.0
17,HONG KAH,8304.0,22985.0,28683.0,23854.0,28924.0,35190.0,9980.0,31492.0,19617.0,25293.0,24543.0,25852.0,10246.0,38915.0,7526.0,34325.0,38227.0,39612.0,32284.0,39958.0,10562.0,27851.0,29135.0,12475.0,20410.0,4351.0,22361.0,27863.0,34613.0,21108.0,35347.0,29835.0,16451.0,23412.0,22617.0
18,HONG KAH,9190.0,23374.0,29953.0,28279.0,29313.0,35579.0,7901.0,28165.0,20006.0,22710.0,21960.0,19641.0,10635.0,39304.0,3323.0,34714.0,38616.0,40001.0,32673.0,40347.0,6359.0,21640.0,29524.0,10720.0,14199.0,10502.0,22751.0,29730.0,31529.0,21497.0,35736.0,30224.0,19023.0,19317.0,30037.0
19,WENYA,10628.0,27436.0,35402.0,24834.0,33375.0,39641.0,12128.0,33615.0,24067.0,24103.0,27410.0,25090.0,14103.0,43366.0,12001.0,38776.0,42678.0,44063.0,36734.0,44409.0,13774.0,27089.0,33586.0,14623.0,19649.0,3618.0,26812.0,35179.0,39064.0,25559.0,39798.0,34286.0,13919.0,27863.0,24765.0
20,YUNNAN,11657.0,25920.0,31618.0,26789.0,31859.0,38125.0,16837.0,34426.0,22551.0,28228.0,27478.0,28786.0,13180.0,41850.0,11358.0,37260.0,41162.0,42547.0,35218.0,42893.0,17363.0,30785.0,32070.0,15996.0,23344.0,1331.0,25296.0,30798.0,37548.0,24042.0,38282.0,32770.0,15529.0,26347.0,29702.0
21,TAMAN JURONG,8212.0,23484.0,29182.0,24353.0,29423.0,35689.0,14402.0,31991.0,20116.0,25792.0,25042.0,26351.0,10745.0,39414.0,9435.0,34824.0,38726.0,40111.0,32783.0,40457.0,13330.0,28350.0,29634.0,16252.0,20909.0,4850.0,22860.0,28362.0,35112.0,21607.0,35846.0,30334.0,18527.0,23911.0,26398.0
22,BUGIS,15474.0,11730.0,12939.0,15762.0,9946.0,14416.0,12678.0,12706.0,2972.0,11078.0,16379.0,23057.0,9893.0,18141.0,16204.0,15347.0,17453.0,18838.0,11509.0,19184.0,13980.0,16918.0,8361.0,9499.0,28522.0,23899.0,1580.0,12119.0,15635.0,5878.0,14573.0,8762.0,32818.0,4434.0,13206.0
23,BALESTIER,19532.0,5782.0,14714.0,10348.0,8536.0,15998.0,12410.0,7532.0,5990.0,9616.0,10592.0,17883.0,9605.0,17662.0,15937.0,13937.0,17603.0,20420.0,13092.0,18104.0,13712.0,16544.0,9723.0,8458.0,23348.0,27688.0,3891.0,15309.0,14226.0,5935.0,16155.0,9102.0,45717.0,3361.0,11234.0
24,SUNGEI ROAD,16067.0,10743.0,14920.0,11720.0,9334.0,13863.0,12443.0,10165.0,4776.0,11109.0,14548.0,20516.0,14230.0,16645.0,15969.0,14735.0,16165.0,18285.0,10957.0,17087.0,13745.0,16949.0,7808.0,9264.0,25982.0,24492.0,490.0,14100.0,15023.0,2600.0,18046.0,8323.0,32583.0,4088.0,12402.0
25,LITTLE INDIA,16151.0,10777.0,11932.0,12989.0,8939.0,18995.0,12210.0,9932.0,4810.0,10950.0,14266.0,20283.0,10359.0,16679.0,15736.0,14340.0,16199.0,19515.0,12186.0,17121.0,13512.0,16790.0,9558.0,9031.0,25749.0,24576.0,207.0,11112.0,14628.0,2634.0,18080.0,8678.0,32350.0,2906.0,12436.0
26,PEARL'S HILL,11857.0,11680.0,15032.0,18604.0,12039.0,19245.0,17441.0,15547.0,3672.0,13805.0,21143.0,25899.0,10021.0,20095.0,20968.0,17440.0,19615.0,23667.0,16339.0,20537.0,18743.0,24560.0,13190.0,14263.0,30579.0,20283.0,4224.0,14212.0,17729.0,2247.0,21495.0,11506.0,35404.0,6528.0,14532.0
27,CHINA SQUARE,11906.0,11285.0,14637.0,16280.0,11644.0,16934.0,16586.0,13223.0,1178.0,17670.0,15926.0,23575.0,13671.0,19693.0,20113.0,17045.0,19213.0,21355.0,14027.0,20135.0,17889.0,22236.0,10878.0,13408.0,29040.0,22287.0,3822.0,13817.0,17334.0,1845.0,21093.0,10461.0,36727.0,6133.0,14137.0
28,CHINATOWN,11416.0,11460.0,14812.0,17253.0,11819.0,17895.0,17373.0,14196.0,2321.0,13585.0,16899.0,24548.0,10741.0,20027.0,20900.0,17220.0,19547.0,22316.0,14988.0,20469.0,18675.0,23209.0,11839.0,14195.0,31299.0,21003.0,4156.0,13992.0,17509.0,2173.0,18052.0,11087.0,36124.0,6308.0,14312.0
29,PASIR RIS DRIVE,33936.0,15245.0,15237.0,19099.0,11772.0,5810.0,31459.0,15163.0,21435.0,18963.0,18468.0,23483.0,32100.0,1691.0,34985.0,8976.0,1277.0,2726.0,8410.0,1797.0,32761.0,22370.0,10960.0,28280.0,27464.0,42362.0,17822.0,14417.0,11554.0,19647.0,5936.0,12434.0,57483.0,17365.0,13313.0
30,ELIAS,33873.0,19995.0,14006.0,16932.0,9714.0,6219.0,34673.0,15846.0,21372.0,16796.0,16301.0,21471.0,32037.0,6144.0,38199.0,6917.0,5731.0,1023.0,8347.0,5498.0,35975.0,20358.0,10897.0,26865.0,25452.0,42299.0,15530.0,13208.0,10188.0,17355.0,6376.0,11873.0,47609.0,17597.0,11254.0
