,SUBZONE_N,0,1,176,73,131,129,127,37,163,87,15,68,69,52,100,33,128,53,45,146,136,79
22,BUGIS,3240.0,3852.0,1778.0,2748.0,2215.0,1487.0,3266.0,1357.0,2060.0,2163.0,2949.0,1872.0,3746.0,2117.0,2994.0,3223.0,3239.0,2833.0,2526.0,3439.0,2615.0,1701.0
23,BALESTIER,4286.0,3802.0,2732.0,3052.0,2519.0,2169.0,3216.0,2543.0,2160.0,3349.0,2899.0,1831.0,3696.0,3378.0,2944.0,4169.0,4196.0,3771.0,3384.0,3539.0,3030.0,2887.0
24,SUNGEI ROAD,3488.0,4020.0,2026.0,2836.0,2303.0,1735.0,3434.0,1817.0,1274.0,2623.0,3117.0,1488.0,3914.0,2952.0,3162.0,3339.0,3190.0,3081.0,2774.0,2653.0,1829.0,2161.0
25,LITTLE INDIA,3307.0,3839.0,1845.0,2534.0,2001.0,1554.0,3253.0,1894.0,1288.0,2700.0,2936.0,1502.0,3733.0,3025.0,2981.0,3353.0,3204.0,2900.0,2593.0,2667.0,1843.0,2238.0
26,PEARL'S HILL,3307.0,4255.0,2745.0,3102.0,2569.0,2454.0,3969.0,1340.0,1947.0,2146.0,3652.0,2089.0,4449.0,2070.0,3697.0,4166.0,3983.0,3800.0,3493.0,3326.0,2502.0,1684.0
27,CHINA SQUARE,3813.0,4017.0,2351.0,2800.0,2267.0,2060.0,3431.0,1462.0,1620.0,2268.0,3114.0,1787.0,3911.0,1685.0,3159.0,3685.0,3536.0,3406.0,3099.0,2999.0,2175.0,1806.0
28,CHINATOWN,3214.0,4162.0,2666.0,2909.0,2376.0,2375.0,3636.0,1247.0,1868.0,2053.0,3319.0,1896.0,4116.0,1561.0,3364.0,3833.0,3904.0,3721.0,3414.0,3247.0,2423.0,1591.0
29,PASIR RIS DRIVE,5981.0,4047.0,4710.0,2825.0,3168.0,4456.0,4961.0,3834.0,2816.0,4640.0,4275.0,3750.0,5893.0,4834.0,5338.0,1692.0,415.0,6065.0,5458.0,1827.0,3037.0,4178.0
30,ELIAS,5957.0,3469.0,4971.0,2737.0,2166.0,4680.0,4383.0,3810.0,2379.0,4616.0,3697.0,3307.0,4157.0,4810.0,3437.0,841.0,1852.0,6326.0,5719.0,3044.0,2254.0,4154.0
31,SZ3,5147.0,3239.0,3685.0,1759.0,1506.0,3394.0,3706.0,3373.0,3103.0,4179.0,3505.0,2586.0,3347.0,4054.0,3441.0,2657.0,2875.0,5040.0,4433.0,3629.0,2799.0,3717.0
32,CRAWFORD,4118.0,4012.0,2656.0,3032.0,2499.0,2139.0,3426.0,1926.0,1621.0,2732.0,3109.0,1922.0,3906.0,2802.0,3154.0,3485.0,3537.0,3711.0,3404.0,3000.0,2176.0,2270.0
33,BOON KENG,3733.0,4261.0,2934.0,3155.0,2622.0,2388.0,3675.0,1766.0,1609.0,2572.0,3358.0,1582.0,4155.0,2766.0,3403.0,3152.0,3168.0,3697.0,3586.0,2988.0,2164.0,2110.0
