,SUBZONE_N,33,7,25,12,15,6,29,2,27,34,28,20,16,23,14,3,10,0
0,PASIR RIS TOWN,"{'destination_addresses': ['1 Choa Chu Kang Street 53, Singapore 689236'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '43.9 km', 'value': 43881}, 'duration': {'text': '1 hour 29 mins', 'value': 5351}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 St Wilfred Rd, Singapore 327920'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '18.1 km', 'value': 18149}, 'duration': {'text': '54 mins', 'value': 3252}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6 Stadium Blvd, Singapore 397724'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '16.3 km', 'value': 16293}, 'duration': {'text': '43 mins', 'value': 2606}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['900 Tiong Bahru Rd, Singapore 158790'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '24.9 km', 'value': 24918}, 'duration': {'text': '50 mins', 'value': 3013}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Lor 12 Geylang, Singapore 399005'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '15.0 km', 'value': 14982}, 'duration': {'text': '41 mins', 'value': 2456}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Woodlands Street 13, Singapore 738597'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '46.8 km', 'value': 46797}, 'duration': {'text': '1 hour 30 mins', 'value': 5379}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Bukit Batok Street 22, Singapore 659581'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '37.5 km', 'value': 37536}, 'duration': {'text': '1 hour 16 mins', 'value': 4564}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['473A Stirling Rd, Singapore 148949'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '26.5 km', 'value': 26455}, 'duration': {'text': '54 mins', 'value': 3244}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1771 Ang Mo Kio Ave 1, Singapore 569978'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '30.6 km', 'value': 30578}, 'duration': {'text': '1 hour 7 mins', 'value': 4025}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Fourth Chin Bee Rd, Singapore 619707'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '39.5 km', 'value': 39543}, 'duration': {'text': '1 hour 27 mins', 'value': 5224}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Bishan Street 14, Singapore 579784'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '16.1 km', 'value': 16069}, 'duration': {'text': '1 hour 2 mins', 'value': 3737}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['95 Hougang Ave 4, Singapore 538830'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '10.8 km', 'value': 10801}, 'duration': {'text': '54 mins', 'value': 3247}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Rutland Rd, Singapore 218254'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '19.5 km', 'value': 19541}, 'duration': {'text': '49 mins', 'value': 2958}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Jurong West Street 93, Singapore 648965'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '41.0 km', 'value': 40992}, 'duration': {'text': '1 hour 15 mins', 'value': 4505}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['601 Aljunied Ave 1, Singapore 389862'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.7 km', 'value': 13652}, 'duration': {'text': '35 mins', 'value': 2126}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57 Anchorvale Rd, Singapore 544964'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '9.2 km', 'value': 9193}, 'duration': {'text': '46 mins', 'value': 2756}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['351 Yishun Ave 3, Singapore 769057'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '19.9 km', 'value': 19860}, 'duration': {'text': '1 hour 15 mins', 'value': 4471}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Tampines Walk, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '3.7 km', 'value': 3664}, 'duration': {'text': '22 mins', 'value': 1331}, 'status': 'OK'}]}], 'status': 'OK'}"
1,MACPHERSON,"{'destination_addresses': ['1 Choa Chu Kang Street 53, Singapore 689236'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '30.3 km', 'value': 30306}, 'duration': {'text': '1 hour 17 mins', 'value': 4645}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 St Wilfred Rd, Singapore 327920'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '4.2 km', 'value': 4180}, 'duration': {'text': '35 mins', 'value': 2124}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6 Stadium Blvd, Singapore 397724'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.3 km', 'value': 5295}, 'duration': {'text': '29 mins', 'value': 1767}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['900 Tiong Bahru Rd, Singapore 158790'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.8 km', 'value': 11846}, 'duration': {'text': '55 mins', 'value': 3304}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Lor 12 Geylang, Singapore 399005'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '3.3 km', 'value': 3284}, 'duration': {'text': '23 mins', 'value': 1361}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Woodlands Street 13, Singapore 738597'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '26.3 km', 'value': 26331}, 'duration': {'text': '1 hour 9 mins', 'value': 4115}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Bukit Batok Street 22, Singapore 659581'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '25.8 km', 'value': 25777}, 'duration': {'text': '1 hour 6 mins', 'value': 3936}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['473A Stirling Rd, Singapore 148949'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '15.5 km', 'value': 15458}, 'duration': {'text': '49 mins', 'value': 2921}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1771 Ang Mo Kio Ave 1, Singapore 569978'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.7 km', 'value': 11689}, 'duration': {'text': '47 mins', 'value': 2806}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Fourth Chin Bee Rd, Singapore 619707'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '26.2 km', 'value': 26232}, 'duration': {'text': '1 hour 33 mins', 'value': 5588}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Bishan Street 14, Singapore 579784'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.9 km', 'value': 7923}, 'duration': {'text': '36 mins', 'value': 2169}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['95 Hougang Ave 4, Singapore 538830'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.9 km', 'value': 7907}, 'duration': {'text': '45 mins', 'value': 2719}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Rutland Rd, Singapore 218254'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.5 km', 'value': 13548}, 'duration': {'text': '38 mins', 'value': 2286}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Jurong West Street 93, Singapore 648965'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '30.0 km', 'value': 29994}, 'duration': {'text': '1 hour 10 mins', 'value': 4182}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['601 Aljunied Ave 1, Singapore 389862'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '1.5 km', 'value': 1508}, 'duration': {'text': '19 mins', 'value': 1133}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57 Anchorvale Rd, Singapore 544964'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.0 km', 'value': 11993}, 'duration': {'text': '47 mins', 'value': 2831}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['351 Yishun Ave 3, Singapore 769057'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.4 km', 'value': 18366}, 'duration': {'text': '56 mins', 'value': 3353}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Tampines Walk, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.7 km', 'value': 8707}, 'duration': {'text': '33 mins', 'value': 1952}, 'status': 'OK'}]}], 'status': 'OK'}"
2,GEYLANG EAST,"{'destination_addresses': ['1 Choa Chu Kang Street 53, Singapore 689236'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '33.1 km', 'value': 33081}, 'duration': {'text': '1 hour 17 mins', 'value': 4628}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 St Wilfred Rd, Singapore 327920'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '6.8 km', 'value': 6832}, 'duration': {'text': '43 mins', 'value': 2597}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6 Stadium Blvd, Singapore 397724'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '4.3 km', 'value': 4330}, 'duration': {'text': '28 mins', 'value': 1698}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['900 Tiong Bahru Rd, Singapore 158790'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '14.1 km', 'value': 14118}, 'duration': {'text': '41 mins', 'value': 2470}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Lor 12 Geylang, Singapore 399005'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '3.1 km', 'value': 3053}, 'duration': {'text': '23 mins', 'value': 1381}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Woodlands Street 13, Singapore 738597'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '29.5 km', 'value': 29472}, 'duration': {'text': '1 hour 13 mins', 'value': 4386}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Bukit Batok Street 22, Singapore 659581'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '26.7 km', 'value': 26736}, 'duration': {'text': '1 hour 4 mins', 'value': 3841}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['473A Stirling Rd, Singapore 148949'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '15.7 km', 'value': 15655}, 'duration': {'text': '45 mins', 'value': 2701}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1771 Ang Mo Kio Ave 1, Singapore 569978'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '9.6 km', 'value': 9575}, 'duration': {'text': '57 mins', 'value': 3426}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Fourth Chin Bee Rd, Singapore 619707'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '28.7 km', 'value': 28743}, 'duration': {'text': '1 hour 18 mins', 'value': 4681}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Bishan Street 14, Singapore 579784'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '9.0 km', 'value': 8987}, 'duration': {'text': '39 mins', 'value': 2340}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['95 Hougang Ave 4, Singapore 538830'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.0 km', 'value': 7963}, 'duration': {'text': '47 mins', 'value': 2849}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Rutland Rd, Singapore 218254'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.7 km', 'value': 8741}, 'duration': {'text': '40 mins', 'value': 2415}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Jurong West Street 93, Singapore 648965'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '30.2 km', 'value': 30192}, 'duration': {'text': '1 hour 6 mins', 'value': 3962}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['601 Aljunied Ave 1, Singapore 389862'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '1.7 km', 'value': 1711}, 'duration': {'text': '22 mins', 'value': 1290}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57 Anchorvale Rd, Singapore 544964'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '13.1 km', 'value': 13056}, 'duration': {'text': '50 mins', 'value': 3002}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['351 Yishun Ave 3, Singapore 769057'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '19.4 km', 'value': 19430}, 'duration': {'text': '59 mins', 'value': 3524}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Tampines Walk, Singapore'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.6 km', 'value': 10588}, 'duration': {'text': '37 mins', 'value': 2228}, 'status': 'OK'}]}], 'status': 'OK'}"
3,ALJUNIED,"{'destination_addresses': ['1 Choa Chu Kang Street 53, Singapore 689236'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '30.4 km', 'value': 30401}, 'duration': {'text': '1 hour 8 mins', 'value': 4095}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 St Wilfred Rd, Singapore 327920'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '5.2 km', 'value': 5238}, 'duration': {'text': '39 mins', 'value': 2359}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6 Stadium Blvd, Singapore 397724'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '1.9 km', 'value': 1902}, 'duration': {'text': '24 mins', 'value': 1453}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['900 Tiong Bahru Rd, Singapore 158790'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '11.4 km', 'value': 11438}, 'duration': {'text': '32 mins', 'value': 1937}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Lor 12 Geylang, Singapore 399005'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '1.0 km', 'value': 973}, 'duration': {'text': '13 mins', 'value': 753}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Woodlands Street 13, Singapore 738597'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '33.3 km', 'value': 33317}, 'duration': {'text': '1 hour 12 mins', 'value': 4303}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Bukit Batok Street 22, Singapore 659581'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '24.1 km', 'value': 24056}, 'duration': {'text': '55 mins', 'value': 3308}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['473A Stirling Rd, Singapore 148949'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '13.0 km', 'value': 12975}, 'duration': {'text': '36 mins', 'value': 2168}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1771 Ang Mo Kio Ave 1, Singapore 569978'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '17.1 km', 'value': 17098}, 'duration': {'text': '49 mins', 'value': 2949}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Fourth Chin Bee Rd, Singapore 619707'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '26.1 km', 'value': 26063}, 'duration': {'text': '1 hour 9 mins', 'value': 4148}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Bishan Street 14, Singapore 579784'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '14.4 km', 'value': 14435}, 'duration': {'text': '43 mins', 'value': 2603}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['95 Hougang Ave 4, Singapore 538830'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10168}, 'duration': {'text': '52 mins', 'value': 3130}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Rutland Rd, Singapore 218254'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '6.1 km', 'value': 6061}, 'duration': {'text': '31 mins', 'value': 1882}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Jurong West Street 93, Singapore 648965'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '27.5 km', 'value': 27512}, 'duration': {'text': '57 mins', 'value': 3429}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['601 Aljunied Ave 1, Singapore 389862'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '1.3 km', 'value': 1281}, 'duration': {'text': '16 mins', 'value': 960}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57 Anchorvale Rd, Singapore 544964'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '13.8 km', 'value': 13827}, 'duration': {'text': '51 mins', 'value': 3074}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['351 Yishun Ave 3, Singapore 769057'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '24.8 km', 'value': 24783}, 'duration': {'text': '58 mins', 'value': 3475}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Tampines Walk, Singapore'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '12.5 km', 'value': 12493}, 'duration': {'text': '36 mins', 'value': 2175}, 'status': 'OK'}]}], 'status': 'OK'}"
4,ROSYTH,"{'destination_addresses': ['1 Choa Chu Kang Street 53, Singapore 689236'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '25.5 km', 'value': 25549}, 'duration': {'text': '1 hour 16 mins', 'value': 4555}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 St Wilfred Rd, Singapore 327920'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '7.0 km', 'value': 6983}, 'duration': {'text': '31 mins', 'value': 1863}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6 Stadium Blvd, Singapore 397724'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '10.7 km', 'value': 10687}, 'duration': {'text': '42 mins', 'value': 2523}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['900 Tiong Bahru Rd, Singapore 158790'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '15.0 km', 'value': 14958}, 'duration': {'text': '47 mins', 'value': 2815}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Lor 12 Geylang, Singapore 399005'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8232}, 'duration': {'text': '43 mins', 'value': 2585}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Woodlands Street 13, Singapore 738597'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '25.0 km', 'value': 24985}, 'duration': {'text': '1 hour 8 mins', 'value': 4097}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Bukit Batok Street 22, Singapore 659581'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '21.0 km', 'value': 21020}, 'duration': {'text': '1 hour 4 mins', 'value': 3846}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['473A Stirling Rd, Singapore 148949'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '16.5 km', 'value': 16495}, 'duration': {'text': '51 mins', 'value': 3046}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1771 Ang Mo Kio Ave 1, Singapore 569978'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '6.2 km', 'value': 6196}, 'duration': {'text': '43 mins', 'value': 2558}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Fourth Chin Bee Rd, Singapore 619707'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '29.6 km', 'value': 29583}, 'duration': {'text': '1 hour 24 mins', 'value': 5026}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Bishan Street 14, Singapore 579784'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '6.0 km', 'value': 6008}, 'duration': {'text': '35 mins', 'value': 2085}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['95 Hougang Ave 4, Singapore 538830'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '1.8 km', 'value': 1848}, 'duration': {'text': '23 mins', 'value': 1362}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Rutland Rd, Singapore 218254'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '8.8 km', 'value': 8800}, 'duration': {'text': '33 mins', 'value': 1952}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Jurong West Street 93, Singapore 648965'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '31.0 km', 'value': 31032}, 'duration': {'text': '1 hour 12 mins', 'value': 4307}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['601 Aljunied Ave 1, Singapore 389862'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '8.1 km', 'value': 8132}, 'duration': {'text': '40 mins', 'value': 2405}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57 Anchorvale Rd, Singapore 544964'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '6.2 km', 'value': 6222}, 'duration': {'text': '28 mins', 'value': 1679}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['351 Yishun Ave 3, Singapore 769057'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '13.3 km', 'value': 13314}, 'duration': {'text': '57 mins', 'value': 3435}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Tampines Walk, Singapore'], 'origin_addresses': ['67 Richards Ave, Singapore 546476'], 'rows': [{'elements': [{'distance': {'text': '15.1 km', 'value': 15064}, 'duration': {'text': '57 mins', 'value': 3447}, 'status': 'OK'}]}], 'status': 'OK'}"
