,SUBZONE_N,341,11,193,226,187,25,77,138,101,273,96,10,133,232,18,5,233,176,275,207,344,315,246,293,200,15,100,58,7,31,245,95,257,134,60
0,PASIR RIS TOWN,"{'destination_addresses': ['29 Jln Mas Kuning, Singapore 128721'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '32.6 km', 'value': 32568}, 'duration': {'text': '1 hour 12 mins', 'value': 4342}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['32 Mei Hwan Cres, Singapore 568476'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.7 km', 'value': 13660}, 'duration': {'text': '52 mins', 'value': 3122}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Neram Cres, Neram Crescent Park, Singapore 807845'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.7 km', 'value': 13652}, 'duration': {'text': '1 hour 5 mins', 'value': 3876}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['39 Serenade Walk, Singapore 575788'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '32.9 km', 'value': 32857}, 'duration': {'text': '1 hour 21 mins', 'value': 4870}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['99-109 Aroozoo Ave, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10188}, 'duration': {'text': '43 mins', 'value': 2566}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Jln Angin Laut, Singapore 489179'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '4.9 km', 'value': 4914}, 'duration': {'text': '21 mins', 'value': 1271}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Unnamed Road, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '30.1 km', 'value': 30091}, 'duration': {'text': '1 hour 31 mins', 'value': 5431}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6A Ang Mo Kio Street 53, Singapore 569208'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '29.8 km', 'value': 29801}, 'duration': {'text': '59 mins', 'value': 3517}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Fullerton Rd, Waterboat House Garden, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '20.1 km', 'value': 20067}, 'duration': {'text': '43 mins', 'value': 2572}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Kalidasa Ave, Singapore 789407'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '17.4 km', 'value': 17378}, 'duration': {'text': '1 hour 15 mins', 'value': 4495}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['26 Lentor Grove, Singapore 789200'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '29.7 km', 'value': 29709}, 'duration': {'text': '1 hour 12 mins', 'value': 4312}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Sembawang Rd, Pebble Garden, Singapore 752106'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '40.2 km', 'value': 40152}, 'duration': {'text': '1 hour 22 mins', 'value': 4892}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['48 Holland Grove Rd, Singapore 278815'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '30.7 km', 'value': 30732}, 'duration': {'text': '1 hour 8 mins', 'value': 4093}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Mariam Walk, Singapore 507173'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '5.0 km', 'value': 5023}, 'duration': {'text': '32 mins', 'value': 1929}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Phoenix Rd, Phoenix Park, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '33.6 km', 'value': 33617}, 'duration': {'text': '1 hour 16 mins', 'value': 4541}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Sentul Cres, Punggol Waterway Park, Singapore 821313'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '7.4 km', 'value': 7391}, 'duration': {'text': '47 mins', 'value': 2799}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['26 Mariam Way, Singapore 508545'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '3.4 km', 'value': 3352}, 'duration': {'text': '30 mins', 'value': 1801}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Elias Terrace, Singapore 519783'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '1.1 km', 'value': 1115}, 'duration': {'text': '14 mins', 'value': 827}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Jln Limau Kasturi, Jalan Limau Kasturi Open Space, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '7.0 km', 'value': 7042}, 'duration': {'text': '20 mins', 'value': 1224}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['33 Jln Sinar Bintang, Singapore 509252'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '4.0 km', 'value': 3958}, 'duration': {'text': '28 mins', 'value': 1699}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8N Jln Asas, Singapore 678768'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.4 km', 'value': 31393}, 'duration': {'text': '1 hour 8 mins', 'value': 4075}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['60 Goodlink Park, Singapore 759528'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '25.4 km', 'value': 25372}, 'duration': {'text': '1 hour 13 mins', 'value': 4381}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Terang Bulan Ave, Interim Park At Terang Bulan Avenue, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '9.6 km', 'value': 9592}, 'duration': {'text': '32 mins', 'value': 1916}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Coronation Rd W, Coronation Park, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '26.9 km', 'value': 26912}, 'duration': {'text': '1 hour 12 mins', 'value': 4320}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['112 Woodlands Street 13, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '45.6 km', 'value': 45617}, 'duration': {'text': '1 hour 32 mins', 'value': 5506}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Yunnan Cres, Yunnan Park, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '41.0 km', 'value': 40994}, 'duration': {'text': '1 hour 15 mins', 'value': 4523}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Rowell Rd, Rowell Road Open Space, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '17.5 km', 'value': 17541}, 'duration': {'text': '45 mins', 'value': 2679}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Jln Selaseh, Jalan Selaseh Park, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12832}, 'duration': {'text': '58 mins', 'value': 3453}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Unnamed Road, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '10.0 km', 'value': 9970}, 'duration': {'text': '46 mins', 'value': 2753}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['70 River Valley Rd, Singapore 179037'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '19.4 km', 'value': 19389}, 'duration': {'text': '47 mins', 'value': 2830}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['110 Sunbird Circle, Singapore 487311'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '5.1 km', 'value': 5071}, 'duration': {'text': '23 mins', 'value': 1393}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Lor N Telok Kurau, Telok Kurau Lorong N Park, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '12.2 km', 'value': 12197}, 'duration': {'text': '41 mins', 'value': 2471}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Neo Tiew Lane 2, Singapore 718813'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '56.1 km', 'value': 56115}, 'duration': {'text': '2 hours 17 mins', 'value': 8226}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 Beng Wan Rd, Singapore 339835'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '18.1 km', 'value': 18127}, 'duration': {'text': '51 mins', 'value': 3080}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['65 Tavistock Ave, Singapore 555163'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '11.7 km', 'value': 11728}, 'duration': {'text': '47 mins', 'value': 2842}, 'status': 'OK'}]}], 'status': 'OK'}"
1,MACPHERSON,"{'destination_addresses': ['29 Jln Mas Kuning, Singapore 128721'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.7 km', 'value': 20701}, 'duration': {'text': '1 hour 12 mins', 'value': 4334}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['32 Mei Hwan Cres, Singapore 568476'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '10.0 km', 'value': 9992}, 'duration': {'text': '39 mins', 'value': 2326}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Neram Cres, Neram Crescent Park, Singapore 807845'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '10.0 km', 'value': 9984}, 'duration': {'text': '58 mins', 'value': 3494}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['39 Serenade Walk, Singapore 575788'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '16.0 km', 'value': 15993}, 'duration': {'text': '1 hour 3 mins', 'value': 3775}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['99-109 Aroozoo Ave, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.0 km', 'value': 5045}, 'duration': {'text': '35 mins', 'value': 2119}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Jln Angin Laut, Singapore 489179'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '14.8 km', 'value': 14827}, 'duration': {'text': '41 mins', 'value': 2481}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Unnamed Road, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '24.1 km', 'value': 24097}, 'duration': {'text': '1 hour 19 mins', 'value': 4759}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['6A Ang Mo Kio Street 53, Singapore 569208'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '9.9 km', 'value': 9904}, 'duration': {'text': '39 mins', 'value': 2319}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Fullerton Rd, Waterboat House Garden, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '9.0 km', 'value': 8956}, 'duration': {'text': '33 mins', 'value': 1993}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Kalidasa Ave, Singapore 789407'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '17.4 km', 'value': 17432}, 'duration': {'text': '1 hour 4 mins', 'value': 3816}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['26 Lentor Grove, Singapore 789200'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '16.7 km', 'value': 16682}, 'duration': {'text': '54 mins', 'value': 3233}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Sembawang Rd, Pebble Garden, Singapore 752106'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.3 km', 'value': 20255}, 'duration': {'text': '1 hour 2 mins', 'value': 3694}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['48 Holland Grove Rd, Singapore 278815'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '14.1 km', 'value': 14125}, 'duration': {'text': '57 mins', 'value': 3414}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Mariam Walk, Singapore 507173'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.5 km', 'value': 12511}, 'duration': {'text': '46 mins', 'value': 2746}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Phoenix Rd, Phoenix Park, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '27.6 km', 'value': 27624}, 'duration': {'text': '1 hour 4 mins', 'value': 3869}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Sentul Cres, Punggol Waterway Park, Singapore 821313'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12757}, 'duration': {'text': '48 mins', 'value': 2883}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['26 Mariam Way, Singapore 508545'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.0 km', 'value': 12031}, 'duration': {'text': '47 mins', 'value': 2814}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Elias Terrace, Singapore 519783'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.1 km', 'value': 13103}, 'duration': {'text': '51 mins', 'value': 3079}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Jln Limau Kasturi, Jalan Limau Kasturi Open Space, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.4 km', 'value': 8393}, 'duration': {'text': '37 mins', 'value': 2191}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['33 Jln Sinar Bintang, Singapore 509252'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.0 km', 'value': 12953}, 'duration': {'text': '47 mins', 'value': 2809}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8N Jln Asas, Singapore 678768'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '25.4 km', 'value': 25399}, 'duration': {'text': '57 mins', 'value': 3403}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['60 Goodlink Park, Singapore 759528'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.9 km', 'value': 18916}, 'duration': {'text': '1 hour 3 mins', 'value': 3789}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Terang Bulan Ave, Interim Park At Terang Bulan Avenue, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '6.0 km', 'value': 5971}, 'duration': {'text': '38 mins', 'value': 2275}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Coronation Rd W, Coronation Park, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.9 km', 'value': 20919}, 'duration': {'text': '1 hour 1 min', 'value': 3648}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['112 Woodlands Street 13, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '25.7 km', 'value': 25721}, 'duration': {'text': '1 hour 12 mins', 'value': 4308}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Yunnan Cres, Yunnan Park, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '30.0 km', 'value': 29996}, 'duration': {'text': '1 hour 10 mins', 'value': 4200}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Rowell Rd, Rowell Road Open Space, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.0 km', 'value': 4955}, 'duration': {'text': '19 mins', 'value': 1152}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Jln Selaseh, Jalan Selaseh Park, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '9.2 km', 'value': 9164}, 'duration': {'text': '52 mins', 'value': 3131}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Unnamed Road, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.0 km', 'value': 13045}, 'duration': {'text': '50 mins', 'value': 2982}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['70 River Valley Rd, Singapore 179037'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '6.8 km', 'value': 6780}, 'duration': {'text': '22 mins', 'value': 1344}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['110 Sunbird Circle, Singapore 487311'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.9 km', 'value': 13911}, 'duration': {'text': '39 mins', 'value': 2311}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Lor N Telok Kurau, Telok Kurau Lorong N Park, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '6.9 km', 'value': 6876}, 'duration': {'text': '42 mins', 'value': 2518}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Neo Tiew Lane 2, Singapore 718813'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '44.2 km', 'value': 44238}, 'duration': {'text': '2 hours 11 mins', 'value': 7839}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3 Beng Wan Rd, Singapore 339835'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '4.3 km', 'value': 4270}, 'duration': {'text': '31 mins', 'value': 1842}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['65 Tavistock Ave, Singapore 555163'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.5 km', 'value': 7466}, 'duration': {'text': '43 mins', 'value': 2580}, 'status': 'OK'}]}], 'status': 'OK'}"
