,SUBZONE_N,141,149,79,105,115,142,148,33,106,77,15,151,103,116,56,129,52,71,4,23,48,67,157,78
21,TAMAN JURONG,28263.0,18532.0,23653.0,8086.0,23964.0,38847.0,7209.0,34149.0,17032.0,30366.0,24167.0,18362.0,20935.0,21000.0,14595.0,21151.0,26457.0,4573.0,14202.0,23949.0,23599.0,37011.0,16304.0,22509.0
22,BUGIS,6769.0,3634.0,4367.0,14338.0,4105.0,17574.0,26258.0,14672.0,7981.0,10889.0,4309.0,4568.0,8075.0,661.0,7461.0,10234.0,5183.0,17860.0,13850.0,23457.0,4313.0,15737.0,6551.0,836.0
23,BALESTIER,8558.0,7426.0,3935.0,18126.0,4246.0,17724.0,30047.0,13263.0,10352.0,9479.0,4898.0,6650.0,5359.0,4873.0,10100.0,5060.0,6766.0,21648.0,13582.0,18284.0,3881.0,14574.0,10339.0,4858.0
24,SUNGEI ROAD,6491.0,4227.0,3759.0,14931.0,4027.0,16565.0,26851.0,14060.0,6826.0,10277.0,4230.0,3413.0,8106.0,2235.0,8515.0,11802.0,4631.0,18453.0,13615.0,20917.0,3855.0,13557.0,7144.0,6953.0
25,LITTLE INDIA,7587.0,4311.0,4025.0,15015.0,4336.0,16599.0,26935.0,13665.0,6904.0,9882.0,4539.0,3447.0,7947.0,2133.0,8652.0,7460.0,5860.0,18537.0,13382.0,20684.0,3971.0,13591.0,7228.0,2461.0
26,PEARL'S HILL,9674.0,2088.0,3584.0,10721.0,4064.0,20055.0,22642.0,16766.0,4343.0,12982.0,4268.0,800.0,10526.0,4556.0,6508.0,13076.0,10013.0,14243.0,18613.0,26299.0,3956.0,17007.0,2934.0,4478.0
27,CHINA SQUARE,8598.0,1094.0,4885.0,12726.0,5196.0,19613.0,24646.0,16371.0,3948.0,12587.0,5399.0,534.0,10220.0,1405.0,5551.0,10752.0,7701.0,16248.0,17759.0,23975.0,4831.0,16605.0,4939.0,3623.0
28,CHINATOWN,9224.0,582.0,5858.0,11441.0,6169.0,19987.0,23362.0,16546.0,4123.0,12762.0,6372.0,867.0,10944.0,3205.0,5061.0,11725.0,8662.0,14963.0,18545.0,24948.0,5804.0,16939.0,3655.0,4410.0
29,PASIR RIS DRIVE,13635.0,22097.0,22830.0,32800.0,23141.0,656.0,44721.0,10297.0,24730.0,12974.0,23344.0,20460.0,21287.0,20150.0,28587.0,18307.0,14175.0,36322.0,32631.0,25146.0,22776.0,5920.0,25013.0,19699.0
30,ELIAS,15008.0,22034.0,22767.0,32737.0,23078.0,5479.0,44658.0,6842.0,21582.0,9375.0,23281.0,18169.0,19949.0,20087.0,28524.0,22197.0,14112.0,36259.0,35845.0,23134.0,22713.0,4645.0,24950.0,19636.0
31,SZ3,16337.0,18570.0,16848.0,27203.0,17159.0,10592.0,39124.0,3389.0,20015.0,5151.0,17362.0,16855.0,16391.0,16218.0,21924.0,11202.0,13133.0,30725.0,26243.0,16274.0,16794.0,9773.0,19416.0,16452.0
32,CRAWFORD,5578.0,3829.0,5145.0,15391.0,5456.0,16964.0,27312.0,16681.0,6853.0,12898.0,5659.0,4591.0,17175.0,2237.0,9649.0,11986.0,4580.0,18913.0,18250.0,24235.0,5091.0,13956.0,7604.0,1467.0
33,BOON KENG,5230.0,6021.0,6754.0,16725.0,7065.0,15617.0,28646.0,12857.0,9949.0,9073.0,7268.0,6837.0,12225.0,4074.0,12512.0,12621.0,3226.0,20247.0,16556.0,25844.0,6700.0,13780.0,8938.0,3624.0
34,KAMPONG JAVA,8896.0,6192.0,4469.0,14825.0,4780.0,17799.0,26746.0,12796.0,7637.0,9012.0,4983.0,4477.0,6540.0,3465.0,9546.0,5053.0,10436.0,18347.0,13304.0,18277.0,4415.0,14751.0,7038.0,3513.0
35,BENDEMEER,7196.0,7277.0,5555.0,15910.0,5866.0,16489.0,27831.0,11596.0,8723.0,7812.0,6069.0,5563.0,12494.0,4925.0,10631.0,7305.0,9236.0,19432.0,14950.0,24645.0,5501.0,13091.0,8123.0,5159.0
36,GEYLANG BAHRU,7711.0,7140.0,6319.0,18858.0,6630.0,13892.0,30778.0,10993.0,9429.0,7209.0,6833.0,6016.0,14318.0,4701.0,11264.0,9129.0,3752.0,22380.0,23692.0,25409.0,6265.0,10884.0,11071.0,9556.0
37,KAMPONG BUGIS,4970.0,6052.0,6785.0,16756.0,7096.0,15648.0,28677.0,14067.0,9980.0,10283.0,7299.0,7953.0,12172.0,4105.0,12543.0,12652.0,3257.0,20278.0,16587.0,25875.0,6731.0,13811.0,8969.0,3655.0
38,MARINE PARADE,995.0,9788.0,11933.0,21461.0,12379.0,12679.0,33381.0,21608.0,13848.0,17825.0,13318.0,17389.0,15313.0,8081.0,15675.0,12170.0,4420.0,24983.0,20935.0,28279.0,12029.0,11618.0,13674.0,7001.0
39,NORTH COAST,30777.0,31086.0,27965.0,20640.0,28276.0,28471.0,25525.0,19312.0,32262.0,26294.0,28479.0,31906.0,15475.0,30847.0,25523.0,22007.0,27312.0,17116.0,15468.0,8839.0,27911.0,27707.0,28858.0,32685.0
40,WOODLANDS SOUTH,27485.0,31419.0,25247.0,20973.0,25558.0,26605.0,25858.0,17438.0,28970.0,23002.0,25761.0,27465.0,12183.0,28129.0,22231.0,16798.0,24020.0,17449.0,26009.0,6121.0,25193.0,25841.0,29191.0,29393.0
41,WOODLANDS EAST,32620.0,26707.0,21839.0,20932.0,22150.0,27949.0,25817.0,18435.0,28941.0,22302.0,22353.0,25781.0,15162.0,24721.0,27441.0,15881.0,23320.0,17408.0,16263.0,2713.0,21785.0,25927.0,29150.0,25816.0
42,SZ4,25270.0,19964.0,18242.0,28597.0,18553.0,11478.0,40518.0,2475.0,21409.0,6545.0,18756.0,18249.0,17785.0,17612.0,23318.0,12596.0,14527.0,32119.0,27637.0,18923.0,18188.0,8484.0,20810.0,17846.0
43,SZ5,24890.0,19584.0,17862.0,28217.0,18173.0,8360.0,40138.0,4356.0,21029.0,6165.0,18376.0,17869.0,17405.0,17232.0,22938.0,12216.0,14147.0,31739.0,27257.0,25486.0,17808.0,11218.0,20430.0,17466.0
44,SZ2,23641.0,18335.0,16613.0,26968.0,16924.0,9824.0,38889.0,4062.0,19780.0,4916.0,17127.0,16620.0,16156.0,15983.0,21689.0,10967.0,12898.0,30490.0,26008.0,17008.0,16559.0,9560.0,19181.0,16217.0
45,HOLLAND DRIVE,15398.0,8350.0,5242.0,4054.0,4709.0,28665.0,15975.0,19619.0,9310.0,15836.0,4483.0,12797.0,9417.0,10818.0,3350.0,9632.0,16854.0,7576.0,11257.0,22902.0,5226.0,24201.0,6122.0,8459.0
46,GHIM MOH,18086.0,8355.0,13475.0,4059.0,6139.0,28670.0,15980.0,20882.0,8779.0,17099.0,5913.0,8185.0,10679.0,10823.0,4426.0,10895.0,16280.0,7581.0,12520.0,26957.0,13421.0,26834.0,6127.0,12332.0
47,KAMPONG UBI,5073.0,10657.0,9836.0,22375.0,10147.0,10614.0,34295.0,12210.0,12946.0,8427.0,10350.0,9533.0,12703.0,8218.0,14781.0,7514.0,2137.0,25897.0,27209.0,20784.0,9782.0,7606.0,14588.0,13073.0
48,SINGAPORE POLYTECHNIC,18821.0,9090.0,14210.0,2003.0,6945.0,29405.0,13923.0,24707.0,9593.0,20924.0,6720.0,8920.0,11493.0,11557.0,5163.0,11709.0,17014.0,5525.0,9718.0,24901.0,14156.0,27568.0,6862.0,13067.0
49,COMMONWEALTH,16877.0,7147.0,4786.0,5019.0,4253.0,27462.0,16940.0,22764.0,9004.0,18981.0,4027.0,6977.0,8645.0,9614.0,2961.0,10437.0,15071.0,8542.0,10795.0,27918.0,12213.0,25625.0,4918.0,11124.0
50,MEI CHIN,15753.0,6022.0,11143.0,6298.0,5142.0,26337.0,18218.0,21639.0,7879.0,17856.0,4916.0,5852.0,10785.0,8490.0,1611.0,17010.0,13947.0,9820.0,12806.0,29196.0,11089.0,24501.0,3794.0,9999.0
51,TANGLIN HALT,16786.0,7056.0,12176.0,4928.0,5476.0,27371.0,16849.0,22673.0,6999.0,18890.0,5251.0,6886.0,9900.0,9523.0,3014.0,11350.0,14980.0,8451.0,11443.0,27827.0,12122.0,25534.0,4827.0,11033.0
52,MARGARET DRIVE,14760.0,6013.0,11134.0,6289.0,4386.0,26328.0,18209.0,21630.0,7870.0,17847.0,4161.0,5843.0,12310.0,8481.0,1679.0,17001.0,13938.0,9811.0,12866.0,29187.0,11080.0,24492.0,3785.0,9990.0
53,BENCOOLEN,9185.0,4032.0,2930.0,14736.0,3241.0,17663.0,26656.0,13840.0,7079.0,10057.0,3444.0,2665.0,7646.0,1169.0,7769.0,7262.0,5581.0,18258.0,13184.0,20486.0,2876.0,14655.0,6949.0,2263.0
54,FARRER PARK,7890.0,5264.0,3541.0,13897.0,3852.0,17163.0,25818.0,13470.0,6709.0,9687.0,4055.0,3549.0,7747.0,2650.0,10035.0,6945.0,6783.0,17419.0,12866.0,20169.0,3487.0,14115.0,6110.0,3075.0
55,SIMEI,9276.0,17035.0,17768.0,27738.0,18079.0,4202.0,39659.0,10929.0,20962.0,17631.0,18282.0,18935.0,21908.0,15088.0,23525.0,16719.0,9113.0,31260.0,27569.0,36858.0,17714.0,2543.0,19952.0,14637.0
56,TAMPINES EAST,11158.0,18961.0,19694.0,29665.0,20005.0,2633.0,41586.0,9602.0,21307.0,12421.0,20208.0,17894.0,21767.0,17014.0,25452.0,16578.0,11040.0,33187.0,35570.0,38784.0,19640.0,2293.0,21878.0,21435.0
