,SUBZONE_N,0,1,176,73,131,129,127,37,163,87,15,68,69,52,100,33,128,53,45,146,136,79
22,BUGIS,18799.0,28305.0,11047.0,13890.0,12353.0,3789.0,23978.0,6541.0,13732.0,14564.0,20976.0,4723.0,23076.0,5202.0,21018.0,19524.0,19785.0,17902.0,11998.0,22692.0,16438.0,8072.0
23,BALESTIER,17014.0,23131.0,10502.0,12481.0,10943.0,3458.0,18805.0,10329.0,7668.0,18352.0,15802.0,3281.0,17902.0,12842.0,15844.0,21106.0,18380.0,15464.0,11814.0,16628.0,11522.0,11861.0
24,SUNGEI ROAD,18564.0,25765.0,10812.0,13278.0,11741.0,3554.0,21438.0,7134.0,6651.0,15157.0,18435.0,4018.0,20535.0,7640.0,18477.0,14322.0,17363.0,17667.0,11763.0,15611.0,9357.0,8665.0
25,LITTLE INDIA,18331.0,25532.0,10579.0,12883.0,11346.0,3321.0,21205.0,7218.0,6685.0,15241.0,18202.0,4052.0,20302.0,11613.0,18244.0,14356.0,17397.0,17434.0,11530.0,15645.0,9391.0,8749.0
26,PEARL'S HILL,17437.0,30362.0,15810.0,15984.0,14446.0,8553.0,26820.0,2924.0,10101.0,10947.0,23818.0,6536.0,25918.0,4145.0,23860.0,24353.0,20813.0,22666.0,16761.0,19061.0,12807.0,4456.0
27,CHINA SQUARE,22708.0,28823.0,14955.0,15589.0,14051.0,7698.0,24496.0,4929.0,9699.0,12952.0,21494.0,6141.0,23594.0,4324.0,21536.0,17370.0,20411.0,21811.0,15906.0,18659.0,12405.0,6460.0
28,CHINATOWN,18157.0,31082.0,15742.0,15764.0,14226.0,8485.0,25469.0,3645.0,10033.0,11667.0,22467.0,6316.0,24567.0,2802.0,22509.0,23002.0,20745.0,22598.0,16693.0,18993.0,12739.0,5176.0
29,PASIR RIS DRIVE,39516.0,25266.0,29828.0,10457.0,11507.0,24784.0,24242.0,25003.0,11627.0,33026.0,21531.0,15789.0,24208.0,26496.0,22412.0,3516.0,562.0,37672.0,30779.0,3063.0,8825.0,26535.0
30,ELIAS,39453.0,23254.0,33042.0,8398.0,8324.0,25784.0,22230.0,24940.0,9424.0,32963.0,19519.0,13498.0,20631.0,26433.0,18710.0,1096.0,4725.0,40886.0,33993.0,5866.0,7865.0,26472.0
31,SZ3,31192.0,17254.0,23440.0,2298.0,4019.0,16183.0,16795.0,19406.0,16040.0,27429.0,13942.0,12659.0,12011.0,21578.0,13870.0,10194.0,10857.0,31285.0,24391.0,12904.0,12295.0,20938.0
32,CRAWFORD,23199.0,29083.0,15447.0,15899.0,14362.0,7099.0,24756.0,7594.0,7049.0,15617.0,21753.0,4334.0,23853.0,9101.0,21795.0,18979.0,17762.0,22303.0,16398.0,16010.0,9756.0,9125.0
33,BOON KENG,23441.0,30692.0,15680.0,12075.0,10537.0,8708.0,26365.0,8928.0,4799.0,16951.0,23363.0,2104.0,25463.0,10421.0,23405.0,17566.0,17827.0,20608.0,16992.0,13759.0,7505.0,10460.0
34,KAMPONG JAVA,18253.0,23124.0,10501.0,12014.0,10476.0,3244.0,18798.0,7028.0,7845.0,15051.0,15795.0,2566.0,17895.0,12730.0,15837.0,16404.0,21867.0,17357.0,11452.0,16805.0,10551.0,8560.0
35,BENDEMEER,18344.0,29493.0,13556.0,10814.0,9276.0,4890.0,25166.0,8113.0,5747.0,16136.0,22163.0,728.0,19204.0,10286.0,17408.0,15204.0,20667.0,19003.0,14868.0,15495.0,8489.0,9645.0
36,GEYLANG BAHRU,28641.0,25839.0,20889.0,10211.0,8673.0,13631.0,25930.0,11061.0,3978.0,19084.0,22927.0,969.0,19217.0,9040.0,22969.0,11649.0,14690.0,27744.0,21840.0,12938.0,6684.0,12592.0
37,KAMPONG BUGIS,23472.0,30723.0,13784.0,13285.0,11747.0,6660.0,26396.0,8959.0,6755.0,16982.0,23394.0,2964.0,25494.0,10452.0,23436.0,17597.0,17858.0,20639.0,17275.0,15728.0,9461.0,10491.0
38,MARINE PARADE,25351.0,33069.0,18132.0,16244.0,19289.0,10995.0,28800.0,13771.0,4922.0,21687.0,25797.0,8227.0,27897.0,16925.0,25839.0,12414.0,14115.0,24390.0,19083.0,11401.0,7322.0,21143.0
39,NORTH COAST,16049.0,3142.0,26498.0,17865.0,27758.0,27487.0,8341.0,28848.0,27752.0,20866.0,10843.0,27243.0,13539.0,30341.0,12540.0,24026.0,28000.0,15578.0,23190.0,36713.0,30459.0,27926.0
40,WOODLANDS SOUTH,16383.0,730.0,23206.0,19176.0,24466.0,24769.0,4823.0,29181.0,24460.0,21199.0,9780.0,23951.0,11880.0,25096.0,9822.0,22160.0,26134.0,15912.0,24157.0,27144.0,27167.0,28259.0
41,WOODLANDS EAST,16342.0,2822.0,28683.0,17831.0,23766.0,21362.0,3234.0,29140.0,23761.0,21158.0,6372.0,23773.0,8472.0,29895.0,6414.0,22625.0,26599.0,15870.0,23483.0,32722.0,26468.0,28218.0
42,SZ4,32586.0,19043.0,24834.0,3827.0,5413.0,17577.0,18019.0,20800.0,14967.0,28823.0,15308.0,14053.0,14654.0,22972.0,15128.0,6645.0,10902.0,32679.0,25785.0,13504.0,12145.0,22332.0
43,SZ5,32206.0,21647.0,24454.0,5514.0,5033.0,17197.0,26007.0,20420.0,14587.0,28443.0,16473.0,13673.0,14274.0,22592.0,16401.0,8415.0,12672.0,32299.0,25405.0,14348.0,17294.0,21952.0
44,SZ2,30957.0,20398.0,23205.0,3280.0,3784.0,15948.0,17529.0,19171.0,13338.0,27194.0,14676.0,12424.0,12941.0,21343.0,14604.0,9981.0,14238.0,31050.0,24156.0,12691.0,13029.0,20703.0
45,HOLLAND DRIVE,10770.0,20938.0,5804.0,18837.0,17300.0,5983.0,23423.0,6112.0,17294.0,4280.0,20420.0,16785.0,22520.0,10292.0,20462.0,23476.0,30876.0,15309.0,7095.0,26255.0,20001.0,5190.0
46,GHIM MOH,10775.0,23700.0,5772.0,20100.0,18563.0,7236.0,27478.0,6117.0,18557.0,4285.0,21683.0,13742.0,23783.0,7610.0,21725.0,30620.0,30881.0,19204.0,6690.0,27518.0,21264.0,5195.0
47,KAMPONG UBI,32158.0,24224.0,24406.0,11428.0,9891.0,17148.0,21305.0,14578.0,703.0,22601.0,18302.0,4861.0,20402.0,13649.0,18344.0,8850.0,11412.0,31261.0,25357.0,9660.0,3406.0,16109.0
48,SINGAPORE POLYTECHNIC,8719.0,21644.0,6179.0,23925.0,22388.0,16164.0,25422.0,6852.0,20536.0,2229.0,28560.0,14477.0,30660.0,8345.0,28602.0,31355.0,31616.0,17148.0,6347.0,29485.0,23242.0,5930.0
49,COMMONWEALTH,11736.0,24661.0,7258.0,21982.0,20445.0,6783.0,28439.0,4908.0,15654.0,5245.0,31577.0,12534.0,21131.0,5849.0,31619.0,29411.0,29672.0,20165.0,9363.0,27542.0,21299.0,3987.0
50,MEI CHIN,13014.0,25939.0,8600.0,20857.0,19320.0,13097.0,29717.0,3784.0,17469.0,6524.0,27752.0,11857.0,29852.0,4269.0,27794.0,28287.0,28548.0,21443.0,10642.0,26418.0,20175.0,2862.0
51,TANGLIN HALT,11645.0,24570.0,7698.0,21891.0,20354.0,14130.0,28348.0,4817.0,18502.0,5154.0,31486.0,12443.0,33586.0,8681.0,31528.0,29320.0,29581.0,20074.0,8991.0,27451.0,21208.0,3896.0
