,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
26,PEARL'S HILL,11670.0,24501.0,11852.0,11805.0,31161.0,12316.0,20250.0,1258.0,8610.0,6706.0,31766.0,10876.0,16274.0,16299.0,12113.0,12376.0,15545.0,9186.0,5829.0
27,CHINA SQUARE,9359.0,22177.0,9541.0,9481.0,26256.0,14625.0,22254.0,652.0,8208.0,6304.0,30227.0,12881.0,13950.0,13975.0,11718.0,11981.0,13233.0,9168.0,7834.0
28,CHINATOWN,10320.0,23150.0,10502.0,10454.0,27229.0,15598.0,20970.0,195.0,8542.0,6638.0,32486.0,11596.0,14923.0,14948.0,11893.0,12156.0,14195.0,9021.0,6549.0
29,PASIR RIS DRIVE,13536.0,22963.0,13718.0,27426.0,25728.0,18611.0,42329.0,22566.0,13224.0,15028.0,28213.0,32955.0,14601.0,15130.0,15259.0,11046.0,10161.0,23859.0,27908.0
30,ELIAS,13473.0,19752.0,13655.0,22127.0,23716.0,17367.0,42266.0,22503.0,10933.0,12737.0,26201.0,32892.0,15283.0,14619.0,17136.0,8988.0,11282.0,24318.0,27845.0
31,SZ3,14849.0,12012.0,13820.0,12760.0,18554.0,19342.0,36732.0,17269.0,12837.0,11713.0,20202.0,27358.0,8933.0,8269.0,7971.0,7653.0,15567.0,18963.0,22311.0
32,CRAWFORD,6296.0,22436.0,5267.0,9740.0,26515.0,20126.0,24919.0,4136.0,6313.0,8084.0,30487.0,15546.0,14210.0,14235.0,11806.0,10246.0,10171.0,19747.0,10499.0
33,BOON KENG,4884.0,24046.0,5066.0,6041.0,28125.0,16495.0,26253.0,6490.0,3232.0,1217.0,32096.0,16880.0,15820.0,15845.0,10652.0,8394.0,8759.0,16432.0,11833.0
34,KAMPONG JAVA,8879.0,16478.0,6552.0,5388.0,20557.0,8028.0,24354.0,4891.0,6355.0,4451.0,24528.0,14980.0,8252.0,8277.0,8143.0,8406.0,12754.0,6712.0,9933.0
35,BENDEMEER,7346.0,17959.0,6306.0,3917.0,26925.0,12500.0,25439.0,5977.0,4118.0,1655.0,30897.0,16065.0,14620.0,14645.0,6943.0,7206.0,12478.0,15066.0,11018.0
36,GEYLANG BAHRU,5578.0,23610.0,5705.0,4924.0,27689.0,10918.0,28386.0,6574.0,2487.0,341.0,27827.0,19013.0,9472.0,15409.0,8950.0,9480.0,10148.0,16890.0,11106.0
37,KAMPONG BUGIS,4915.0,24077.0,5097.0,11381.0,28156.0,12257.0,26284.0,6521.0,3263.0,2649.0,32127.0,16911.0,15851.0,15876.0,10683.0,8444.0,8790.0,16463.0,11864.0
38,MARINE PARADE,2879.0,26480.0,2690.0,11247.0,30559.0,16836.0,30989.0,9909.0,5629.0,7796.0,34252.0,21616.0,12514.0,13040.0,10799.0,7210.0,4784.0,14321.0,18576.0
39,NORTH COAST,30645.0,13181.0,27999.0,18770.0,6381.0,13221.0,23133.0,31555.0,27016.0,28787.0,1105.0,20795.0,20492.0,20517.0,25202.0,25056.0,32903.0,22446.0,26470.0
40,WOODLANDS SOUTH,25736.0,10463.0,24707.0,16384.0,2588.0,9928.0,23466.0,31888.0,23724.0,25495.0,4095.0,21128.0,11852.0,13155.0,21910.0,21764.0,29611.0,19154.0,26803.0
