,SUBZONE_N,0,1,176,73,131,129,127,37,163,87,15,68,69,52,100,33,128,53,45,146,136,79
0,PASIR RIS TOWN,"{'destination_addresses': ['Princess Elizabeth Primary School, 30 Bukit Batok West Avenue 3 (S)659163, Singapore 659163'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '38.1 km', 'value': 38148}, 'duration': {'text': '1 hour 23 mins', 'value': 4988}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Woodlands Drive 14, Singapore 738079'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '28.3 km', 'value': 28309}, 'duration': {'text': '1 hour 6 mins', 'value': 3970}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Pei Wah Ave, Singapore 597610'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '28.5 km', 'value': 28460}, 'duration': {'text': '1 hour 2 mins', 'value': 3717}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Anchorvale Link, Singapore 545080'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '8.9 km', 'value': 8873}, 'duration': {'text': '42 mins', 'value': 2538}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Compassvale Link, Singapore 544974'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '9.1 km', 'value': 9096}, 'duration': {'text': '43 mins', 'value': 2577}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Barker Rd, Singapore 309918'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '23.4 km', 'value': 23416}, 'duration': {'text': '58 mins', 'value': 3463}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Sembawang Dr, Singapore 757715'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '41.1 km', 'value': 41073}, 'duration': {'text': '1 hour 19 mins', 'value': 4750}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Jln Membina, Singapore 169485'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '23.6 km', 'value': 23635}, 'duration': {'text': '47 mins', 'value': 2841}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Ubi Ave 1, Singapore 408931'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10153}, 'duration': {'text': '35 mins', 'value': 2075}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8 Clementi Ave 3, Singapore 129903'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.7 km', 'value': 31658}, 'duration': {'text': '1 hour 1 min', 'value': 3647}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Yishun Street 11, Singapore 768643'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '38.1 km', 'value': 38071}, 'duration': {'text': '1 hour 14 mins', 'value': 4433}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['91 Bendemeer Rd, Singapore 339948'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '18.4 km', 'value': 18438}, 'duration': {'text': '52 mins', 'value': 3147}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['210 Yishun Ave 6, Singapore 768960'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '40.2 km', 'value': 40171}, 'duration': {'text': '1 hour 27 mins', 'value': 5230}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Bukit Purmei Ave, Singapore 099840'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '25.1 km', 'value': 25128}, 'duration': {'text': '1 hour 4 mins', 'value': 3841}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['500 Yishun Ring Rd, Singapore 768679'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '38.1 km', 'value': 38113}, 'duration': {'text': '1 hour 15 mins', 'value': 4478}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Pasir Ris Street 71, Singapore 518798'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '2.1 km', 'value': 2080}, 'duration': {'text': '21 mins', 'value': 1262}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Pasir Ris Street 21, Singapore 518968'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '3.0 km', 'value': 3002}, 'duration': {'text': '20 mins', 'value': 1218}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Jelapang Rd, Singapore 677744'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '36.3 km', 'value': 36304}, 'duration': {'text': '1 hour 25 mins', 'value': 5072}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['111 Lor Kismis, Singapore 598112'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '29.4 km', 'value': 29411}, 'duration': {'text': '1 hour 14 mins', 'value': 4465}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['31 Tampines Street 33, Singapore 529258'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '6.2 km', 'value': 6156}, 'duration': {'text': '35 mins', 'value': 2080}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Bedok Reservoir Cres, Singapore 479226'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8227}, 'duration': {'text': '36 mins', 'value': 2150}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['100 Redhill Cl, Singapore 158901'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '25.2 km', 'value': 25167}, 'duration': {'text': '53 mins', 'value': 3185}, 'status': 'OK'}]}], 'status': 'OK'}"
1,MACPHERSON,"{'destination_addresses': ['Princess Elizabeth Primary School, 30 Bukit Batok West Avenue 3 (S)659163, Singapore 659163'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '30.2 km', 'value': 30218}, 'duration': {'text': '1 hour 15 mins', 'value': 4507}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Woodlands Drive 14, Singapore 738079'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '24.1 km', 'value': 24096}, 'duration': {'text': '1 hour 9 mins', 'value': 4123}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Pei Wah Ave, Singapore 597610'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '22.5 km', 'value': 22466}, 'duration': {'text': '51 mins', 'value': 3045}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Anchorvale Link, Singapore 545080'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.3 km', 'value': 11300}, 'duration': {'text': '49 mins', 'value': 2941}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Compassvale Link, Singapore 544974'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '9.8 km', 'value': 9763}, 'duration': {'text': '40 mins', 'value': 2408}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Barker Rd, Singapore 309918'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '15.2 km', 'value': 15209}, 'duration': {'text': '46 mins', 'value': 2754}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Sembawang Dr, Singapore 757715'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '21.2 km', 'value': 21177}, 'duration': {'text': '59 mins', 'value': 3552}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Jln Membina, Singapore 169485'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.6 km', 'value': 12638}, 'duration': {'text': '42 mins', 'value': 2518}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Ubi Ave 1, Singapore 408931'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '2.5 km', 'value': 2517}, 'duration': {'text': '15 mins', 'value': 927}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8 Clementi Ave 3, Singapore 129903'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.7 km', 'value': 20661}, 'duration': {'text': '55 mins', 'value': 3324}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Yishun Street 11, Singapore 768643'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.2 km', 'value': 18174}, 'duration': {'text': '54 mins', 'value': 3235}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['91 Bendemeer Rd, Singapore 339948'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '3.8 km', 'value': 3761}, 'duration': {'text': '25 mins', 'value': 1471}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['210 Yishun Ave 6, Singapore 768960'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.3 km', 'value': 20274}, 'duration': {'text': '1 hour 7 mins', 'value': 4032}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Bukit Purmei Ave, Singapore 099840'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.7 km', 'value': 11709}, 'duration': {'text': '46 mins', 'value': 2738}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['500 Yishun Ring Rd, Singapore 768679'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.2 km', 'value': 18216}, 'duration': {'text': '55 mins', 'value': 3280}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Pasir Ris Street 71, Singapore 518798'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10188}, 'duration': {'text': '50 mins', 'value': 2992}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Pasir Ris Street 21, Singapore 518968'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '13.2 km', 'value': 13229}, 'duration': {'text': '47 mins', 'value': 2843}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Jelapang Rd, Singapore 677744'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '29.3 km', 'value': 29322}, 'duration': {'text': '1 hour 8 mins', 'value': 4100}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['111 Lor Kismis, Singapore 598112'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '23.4 km', 'value': 23417}, 'duration': {'text': '1 hour 3 mins', 'value': 3793}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['31 Tampines Street 33, Singapore 529258'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.5 km', 'value': 11477}, 'duration': {'text': '38 mins', 'value': 2306}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Bedok Reservoir Cres, Singapore 479226'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.2 km', 'value': 5223}, 'duration': {'text': '25 mins', 'value': 1482}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['100 Redhill Cl, Singapore 158901'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '14.2 km', 'value': 14169}, 'duration': {'text': '48 mins', 'value': 2862}, 'status': 'OK'}]}], 'status': 'OK'}"
2,GEYLANG EAST,"{'destination_addresses': ['Princess Elizabeth Primary School, 30 Bukit Batok West Avenue 3 (S)659163, Singapore 659163'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '27.3 km', 'value': 27348}, 'duration': {'text': '1 hour 11 mins', 'value': 4265}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Woodlands Drive 14, Singapore 738079'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '25.2 km', 'value': 25160}, 'duration': {'text': '1 hour 12 mins', 'value': 4294}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Pei Wah Ave, Singapore 597610'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '17.7 km', 'value': 17660}, 'duration': {'text': '53 mins', 'value': 3174}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Anchorvale Link, Singapore 545080'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '12.4 km', 'value': 12363}, 'duration': {'text': '52 mins', 'value': 3112}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Compassvale Link, Singapore 544974'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.8 km', 'value': 10826}, 'duration': {'text': '43 mins', 'value': 2579}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Barker Rd, Singapore 309918'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '9.6 km', 'value': 9641}, 'duration': {'text': '53 mins', 'value': 3177}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Sembawang Dr, Singapore 757715'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '22.2 km', 'value': 22241}, 'duration': {'text': '1 hour 2 mins', 'value': 3723}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Jln Membina, Singapore 169485'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12835}, 'duration': {'text': '38 mins', 'value': 2298}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Ubi Ave 1, Singapore 408931'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '2.8 km', 'value': 2794}, 'duration': {'text': '29 mins', 'value': 1728}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8 Clementi Ave 3, Singapore 129903'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '20.9 km', 'value': 20858}, 'duration': {'text': '52 mins', 'value': 3104}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Yishun Street 11, Singapore 768643'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '19.2 km', 'value': 19238}, 'duration': {'text': '57 mins', 'value': 3406}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['91 Bendemeer Rd, Singapore 339948'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '6.5 km', 'value': 6515}, 'duration': {'text': '37 mins', 'value': 2192}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['210 Yishun Ave 6, Singapore 768960'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '21.3 km', 'value': 21338}, 'duration': {'text': '1 hour 10 mins', 'value': 4203}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Bukit Purmei Ave, Singapore 099840'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '14.3 km', 'value': 14328}, 'duration': {'text': '55 mins', 'value': 3298}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['500 Yishun Ring Rd, Singapore 768679'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '19.3 km', 'value': 19280}, 'duration': {'text': '58 mins', 'value': 3451}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Pasir Ris Street 71, Singapore 518798'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '14.1 km', 'value': 14051}, 'duration': {'text': '49 mins', 'value': 2964}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Pasir Ris Street 21, Singapore 518968'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '14.3 km', 'value': 14312}, 'duration': {'text': '50 mins', 'value': 2980}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Jelapang Rd, Singapore 677744'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '22.8 km', 'value': 22758}, 'duration': {'text': '1 hour 7 mins', 'value': 4039}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['111 Lor Kismis, Singapore 598112'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '18.6 km', 'value': 18611}, 'duration': {'text': '1 hour 5 mins', 'value': 3922}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['31 Tampines Street 33, Singapore 529258'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10168}, 'duration': {'text': '1 hour 0 mins', 'value': 3617}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Bedok Reservoir Cres, Singapore 479226'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '5.2 km', 'value': 5221}, 'duration': {'text': '37 mins', 'value': 2210}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['100 Redhill Cl, Singapore 158901'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '14.4 km', 'value': 14367}, 'duration': {'text': '44 mins', 'value': 2642}, 'status': 'OK'}]}], 'status': 'OK'}"
3,ALJUNIED,"{'destination_addresses': ['Princess Elizabeth Primary School, 30 Bukit Batok West Avenue 3 (S)659163, Singapore 659163'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '24.7 km', 'value': 24668}, 'duration': {'text': '1 hour 2 mins', 'value': 3732}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Woodlands Drive 14, Singapore 738079'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '31.9 km', 'value': 31920}, 'duration': {'text': '1 hour 11 mins', 'value': 4260}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Pei Wah Ave, Singapore 597610'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '15.0 km', 'value': 14980}, 'duration': {'text': '44 mins', 'value': 2641}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Anchorvale Link, Singapore 545080'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '13.1 km', 'value': 13134}, 'duration': {'text': '53 mins', 'value': 3184}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Compassvale Link, Singapore 544974'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '11.6 km', 'value': 11597}, 'duration': {'text': '44 mins', 'value': 2651}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['50 Barker Rd, Singapore 309918'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '9.9 km', 'value': 9936}, 'duration': {'text': '40 mins', 'value': 2387}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Sembawang Dr, Singapore 757715'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '27.6 km', 'value': 27593}, 'duration': {'text': '1 hour 1 min', 'value': 3674}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['51 Jln Membina, Singapore 169485'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '10.2 km', 'value': 10155}, 'duration': {'text': '29 mins', 'value': 1765}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Ubi Ave 1, Singapore 408931'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '4.3 km', 'value': 4257}, 'duration': {'text': '34 mins', 'value': 2040}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['8 Clementi Ave 3, Singapore 129903'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '18.2 km', 'value': 18178}, 'duration': {'text': '43 mins', 'value': 2571}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['10 Yishun Street 11, Singapore 768643'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '24.6 km', 'value': 24591}, 'duration': {'text': '56 mins', 'value': 3357}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['91 Bendemeer Rd, Singapore 339948'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '4.9 km', 'value': 4921}, 'duration': {'text': '32 mins', 'value': 1894}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['210 Yishun Ave 6, Singapore 768960'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '26.7 km', 'value': 26691}, 'duration': {'text': '1 hour 9 mins', 'value': 4154}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['1 Bukit Purmei Ave, Singapore 099840'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '11.6 km', 'value': 11648}, 'duration': {'text': '46 mins', 'value': 2765}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['500 Yishun Ring Rd, Singapore 768679'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '24.6 km', 'value': 24633}, 'duration': {'text': '57 mins', 'value': 3402}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['20 Pasir Ris Street 71, Singapore 518798'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '16.0 km', 'value': 15956}, 'duration': {'text': '49 mins', 'value': 2911}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Pasir Ris Street 21, Singapore 518968'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '16.2 km', 'value': 16217}, 'duration': {'text': '49 mins', 'value': 2927}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Jelapang Rd, Singapore 677744'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '21.8 km', 'value': 21835}, 'duration': {'text': '1 hour 2 mins', 'value': 3696}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['111 Lor Kismis, Singapore 598112'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '15.9 km', 'value': 15931}, 'duration': {'text': '56 mins', 'value': 3389}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['31 Tampines Street 33, Singapore 529258'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '14.1 km', 'value': 14086}, 'duration': {'text': '47 mins', 'value': 2825}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Bedok Reservoir Cres, Singapore 479226'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '6.8 km', 'value': 6764}, 'duration': {'text': '42 mins', 'value': 2541}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['100 Redhill Cl, Singapore 158901'], 'origin_addresses': ['7 Lor 27 Geylang, Singapore 388159'], 'rows': [{'elements': [{'distance': {'text': '11.7 km', 'value': 11687}, 'duration': {'text': '35 mins', 'value': 2109}, 'status': 'OK'}]}], 'status': 'OK'}"
