,SUBZONE_N,141,149,79,105,115,142,148,33,106,77,15,151,103,116,56,129,52,71,4,23,48,67,157,78
0,PASIR RIS TOWN,"{'destination_addresses': ['Katong Shop Ctr, Singapore'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '13.4 km', 'value': 13406}, 'duration': {'text': '49 mins', 'value': 2951}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Wallich St, #01 - 14, Singapore 078883'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '20.7 km', 'value': 20729}, 'duration': {'text': '39 mins', 'value': 2351}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Food Republic, Wisma Atria, Orchard Rd, Singapore 237973'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '21.5 km', 'value': 21462}, 'duration': {'text': '45 mins', 'value': 2696}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3151 Commonwealth Ave W, #02-03, Singapore 129581'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.4 km', 'value': 31432}, 'duration': {'text': '58 mins', 'value': 3454}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['541 Orchard Rd, Singapore 238881'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '21.8 km', 'value': 21773}, 'duration': {'text': '49 mins', 'value': 2924}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['259 Pasir Ris Street 21, #02-37 Loyang Point, Singapore 510259'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '3.5 km', 'value': 3473}, 'duration': {'text': '22 mins', 'value': 1337}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['55 Benoi Rd, Joo Koon Bus Interchange, Singapore 629907'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '43.4 km', 'value': 43353}, 'duration': {'text': '1 hour 15 mins', 'value': 4519}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Rivervale Cres, Singapore 545082'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '7.1 km', 'value': 7084}, 'duration': {'text': '34 mins', 'value': 2044}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['81 Telok Blangah Rd, Singapore 098867'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '24.7 km', 'value': 24656}, 'duration': {'text': '52 mins', 'value': 3112}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['90 Hougang Ave 10, Singapore 538766'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '9.8 km', 'value': 9816}, 'duration': {'text': '47 mins', 'value': 2814}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['390 Orchard Rd, Singapore 238871'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '22.0 km', 'value': 21976}, 'duration': {'text': '51 mins', 'value': 3075}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['23 Upper Cross St, Singapore 058358'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '22.6 km', 'value': 22629}, 'duration': {'text': '52 mins', 'value': 3101}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['4F Marigold Dr, Singapore 576391'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '25.6 km', 'value': 25602}, 'duration': {'text': '1 hour 6 mins', 'value': 3958}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['256 North Bridge Rd, Singapore 179103'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '18.8 km', 'value': 18782}, 'duration': {'text': '39 mins', 'value': 2327}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['323 Alexandra Rd, Singapore 159972'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '27.2 km', 'value': 27219}, 'duration': {'text': '1 hour 4 mins', 'value': 3855}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['9 Bishan Pl, Singapore 579837'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '20.4 km', 'value': 20413}, 'duration': {'text': '48 mins', 'value': 2861}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['60 Paya Lebar Rd, #B1-09 Paya Lebar Square, Singapore 409051'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12807}, 'duration': {'text': '25 mins', 'value': 1502}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Jurong Gateway Rd, Singapore 608550'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '35.0 km', 'value': 34954}, 'duration': {'text': '1 hour 1 min', 'value': 3672}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Hillview Rise, Singapore 669618'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '31.3 km', 'value': 31263}, 'duration': {'text': '1 hour 6 mins', 'value': 3979}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Sembawang Dr, Singapore 757713'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '40.6 km', 'value': 40552}, 'duration': {'text': '1 hour 13 mins', 'value': 4358}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Orchard, Singapore 237973'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '21.4 km', 'value': 21408}, 'duration': {'text': '44 mins', 'value': 2649}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['856E Tampines Street 82, Singapore 525856'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '3.3 km', 'value': 3340}, 'duration': {'text': '18 mins', 'value': 1075}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['298 Tiong Bahru Rd, Singapore 168730'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '23.6 km', 'value': 23645}, 'duration': {'text': '48 mins', 'value': 2852}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Temasek Boulevard, Suntec Tower One, #12-07,Singapore 523520, Wind Limousine Service - Changi Airport Arrival Airport Departure Airport Transfer Singapore 新加坡樟宜机场接机机场送机机场接送中文司机专车接送服务, Singapore 038987'], 'origin_addresses': ['Pasir Ris Dr 1, Singapore'], 'rows': [{'elements': [{'distance': {'text': '18.3 km', 'value': 18331}, 'duration': {'text': '44 mins', 'value': 2627}, 'status': 'OK'}]}], 'status': 'OK'}"
1,MACPHERSON,"{'destination_addresses': ['Katong Shop Ctr, Singapore'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '5.8 km', 'value': 5776}, 'duration': {'text': '37 mins', 'value': 2192}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Wallich St, #01 - 14, Singapore 078883'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.7 km', 'value': 8717}, 'duration': {'text': '30 mins', 'value': 1800}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Food Republic, Wisma Atria, Orchard Rd, Singapore 237973'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.9 km', 'value': 7897}, 'duration': {'text': '31 mins', 'value': 1887}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3151 Commonwealth Ave W, #02-03, Singapore 129581'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '18.2 km', 'value': 18177}, 'duration': {'text': '1 hour 2 mins', 'value': 3697}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['541 Orchard Rd, Singapore 238881'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.2 km', 'value': 8208}, 'duration': {'text': '35 mins', 'value': 2115}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['259 Pasir Ris Street 21, #02-37 Loyang Point, Singapore 510259'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.4 km', 'value': 12431}, 'duration': {'text': '42 mins', 'value': 2513}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['55 Benoi Rd, Joo Koon Bus Interchange, Singapore 629907'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '32.4 km', 'value': 32355}, 'duration': {'text': '1 hour 10 mins', 'value': 4196}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Rivervale Cres, Singapore 545082'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.1 km', 'value': 12082}, 'duration': {'text': '45 mins', 'value': 2707}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['81 Telok Blangah Rd, Singapore 098867'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.0 km', 'value': 11006}, 'duration': {'text': '30 mins', 'value': 1775}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['90 Hougang Ave 10, Singapore 538766'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.3 km', 'value': 8299}, 'duration': {'text': '36 mins', 'value': 2178}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['390 Orchard Rd, Singapore 238871'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '8.4 km', 'value': 8411}, 'duration': {'text': '38 mins', 'value': 2266}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['23 Upper Cross St, Singapore 058358'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.6 km', 'value': 7593}, 'duration': {'text': '21 mins', 'value': 1247}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['4F Marigold Dr, Singapore 576391'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.6 km', 'value': 12575}, 'duration': {'text': '48 mins', 'value': 2879}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['256 North Bridge Rd, Singapore 179103'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '6.3 km', 'value': 6279}, 'duration': {'text': '26 mins', 'value': 1556}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['323 Alexandra Rd, Singapore 159972'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12841}, 'duration': {'text': '55 mins', 'value': 3291}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['9 Bishan Pl, Singapore 579837'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.4 km', 'value': 7386}, 'duration': {'text': '30 mins', 'value': 1782}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['60 Paya Lebar Rd, #B1-09 Paya Lebar Square, Singapore 409051'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '2.0 km', 'value': 2009}, 'duration': {'text': '18 mins', 'value': 1104}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Jurong Gateway Rd, Singapore 608550'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '24.0 km', 'value': 23957}, 'duration': {'text': '56 mins', 'value': 3349}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Hillview Rise, Singapore 669618'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '25.3 km', 'value': 25269}, 'duration': {'text': '55 mins', 'value': 3307}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Sembawang Dr, Singapore 757713'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '20.7 km', 'value': 20656}, 'duration': {'text': '53 mins', 'value': 3160}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Orchard, Singapore 237973'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '7.8 km', 'value': 7843}, 'duration': {'text': '31 mins', 'value': 1840}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['856E Tampines Street 82, Singapore 525856'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '9.4 km', 'value': 9423}, 'duration': {'text': '27 mins', 'value': 1625}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['298 Tiong Bahru Rd, Singapore 168730'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '12.6 km', 'value': 12648}, 'duration': {'text': '42 mins', 'value': 2529}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Temasek Boulevard, Suntec Tower One, #12-07,Singapore 523520, Wind Limousine Service - Changi Airport Arrival Airport Departure Airport Transfer Singapore 新加坡樟宜机场接机机场送机机场接送中文司机专车接送服务, Singapore 038987'], 'origin_addresses': ['78 Circuit Rd, Block 78, Singapore 370078'], 'rows': [{'elements': [{'distance': {'text': '11.1 km', 'value': 11134}, 'duration': {'text': '31 mins', 'value': 1845}, 'status': 'OK'}]}], 'status': 'OK'}"
2,GEYLANG EAST,"{'destination_addresses': ['Katong Shop Ctr, Singapore'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '1.9 km', 'value': 1878}, 'duration': {'text': '23 mins', 'value': 1392}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['5 Wallich St, #01 - 14, Singapore 078883'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '9.9 km', 'value': 9929}, 'duration': {'text': '30 mins', 'value': 1808}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Food Republic, Wisma Atria, Orchard Rd, Singapore 237973'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.7 km', 'value': 10662}, 'duration': {'text': '36 mins', 'value': 2153}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['3151 Commonwealth Ave W, #02-03, Singapore 129581'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '20.6 km', 'value': 20632}, 'duration': {'text': '49 mins', 'value': 2911}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['541 Orchard Rd, Singapore 238881'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '11.0 km', 'value': 10973}, 'duration': {'text': '40 mins', 'value': 2381}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['259 Pasir Ris Street 21, #02-37 Loyang Point, Singapore 510259'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '12.1 km', 'value': 12101}, 'duration': {'text': '46 mins', 'value': 2783}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['55 Benoi Rd, Joo Koon Bus Interchange, Singapore 629907'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '32.6 km', 'value': 32553}, 'duration': {'text': '1 hour 6 mins', 'value': 3976}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['11 Rivervale Cres, Singapore 545082'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '13.1 km', 'value': 13145}, 'duration': {'text': '48 mins', 'value': 2878}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['81 Telok Blangah Rd, Singapore 098867'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '13.7 km', 'value': 13655}, 'duration': {'text': '38 mins', 'value': 2305}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['90 Hougang Ave 10, Singapore 538766'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '9.4 km', 'value': 9362}, 'duration': {'text': '39 mins', 'value': 2349}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['390 Orchard Rd, Singapore 238871'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '11.2 km', 'value': 11176}, 'duration': {'text': '42 mins', 'value': 2532}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['23 Upper Cross St, Singapore 058358'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.0 km', 'value': 9981}, 'duration': {'text': '38 mins', 'value': 2261}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['4F Marigold Dr, Singapore 576391'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '13.6 km', 'value': 13639}, 'duration': {'text': '51 mins', 'value': 3050}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['256 North Bridge Rd, Singapore 179103'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.0 km', 'value': 7982}, 'duration': {'text': '30 mins', 'value': 1784}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['323 Alexandra Rd, Singapore 159972'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '16.4 km', 'value': 16419}, 'duration': {'text': '55 mins', 'value': 3312}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['9 Bishan Pl, Singapore 579837'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '8.4 km', 'value': 8450}, 'duration': {'text': '33 mins', 'value': 1953}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['60 Paya Lebar Rd, #B1-09 Paya Lebar Square, Singapore 409051'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '1.1 km', 'value': 1123}, 'duration': {'text': '14 mins', 'value': 837}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['52 Jurong Gateway Rd, Singapore 608550'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '24.2 km', 'value': 24154}, 'duration': {'text': '52 mins', 'value': 3129}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['2 Hillview Rise, Singapore 669618'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '20.5 km', 'value': 20463}, 'duration': {'text': '57 mins', 'value': 3436}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['30 Sembawang Dr, Singapore 757713'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '21.7 km', 'value': 21720}, 'duration': {'text': '56 mins', 'value': 3331}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Orchard, Singapore 237973'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.6 km', 'value': 10608}, 'duration': {'text': '35 mins', 'value': 2106}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['856E Tampines Street 82, Singapore 525856'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '10.3 km', 'value': 10264}, 'duration': {'text': '33 mins', 'value': 1972}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['298 Tiong Bahru Rd, Singapore 168730'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '12.8 km', 'value': 12845}, 'duration': {'text': '38 mins', 'value': 2309}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['7 Temasek Boulevard, Suntec Tower One, #12-07,Singapore 523520, Wind Limousine Service - Changi Airport Arrival Airport Departure Airport Transfer Singapore 新加坡樟宜机场接机机场送机机场接送中文司机专车接送服务, Singapore 038987'], 'origin_addresses': ['1 Geylang Serai, Singapore 402001'], 'rows': [{'elements': [{'distance': {'text': '6.4 km', 'value': 6418}, 'duration': {'text': '30 mins', 'value': 1816}, 'status': 'OK'}]}], 'status': 'OK'}"
